20 30
1 2 42.7200187266
2 9 83.8152730712
3 16 26.0768096208
4 1 57.2013985843
5 9 32.0156211872
6 19 24.1867732449
7 1 25.2982212813
8 15 45.4862616622
9 4 36.3593179254
10 9 29.1547594742
11 16 61.5223536611
12 5 55.0363516233
13 17 9.4868329805
14 3 12.3693168769
15 2 53.1507290637
16 18 42.4499705536
17 3 8.6023252670
18 4 25.2388589282
19 7 13.4536240471
20 12 32.0156211872
4 6 46.8614980554
17 16 24.2074368738
5 15 25.0000000000
10 5 5.0000000000
1 19 34.0147027034
20 5 25.1793566240
12 15 31.0483493925
12 8 18.7882942281
19 9 71.1125867902
14 17 9.4339811321
