AK,5798
AZ,205964
CA,735235
CO,59487
HI,9959
ID,33741
MT,8316
NM,26144
NV,71967
OR,28190
UT,55033
WA,77545
WY,3425
IA,70403
IL,250961
IN,100394
KS,46914
MI,107371
MN,81225
MO,94340
ND,13801
NE,35975
OH,124514
OK,64220
SD,15300
WI,81760
AL,121474
AR,65727
FL,648269
GA,283807
KY,47956
LA,153177
MS,87130
NC,177919
SC,123552
TN,165109
TX,640370
VA,121919
WV,11368
CT,53365
DC,14315
DE,18249
MA,121046
MD,112883
ME,4230
NH,7476
NJ,194390
NY,440021
PA,135862
RI,22243
VT,1651
GU,1671
MP,58
PR,16692
VI,1190
