Jan 21,1,1
Jan 24,1,2
Jan 25,1,3
Jan 26,2,5
Jan 30,1,6
Jan 31,1,7
Feb 1,1,8
Feb 2,3,11
Feb 5,1,12
Feb 15,0,12
Feb 20,2,14
Feb 25,0,14
Feb 26,1,15
Feb 27,0,15
Feb 28,4,19
Feb 29,5,24
Mar 1,18,42
Mar 2,15,57
Mar 3,28,85
Mar 4,26,111
Mar 5,64,175
Mar 6,77,252
Mar 7,101,353
Mar 8,144,497
Mar 9,148,645
Mar 10,291,936
Mar 11,269,1205
Mar 12,393,1598
Mar 13,565,2163
Mar 14,662,2825
Mar 15,676,3501
Mar 16,872,4373
Mar 17,1291,5664
Mar 18,2410,8074
Mar 19,3948,12022
Mar 20,5417,17439
Mar 21,6271,23710
Mar 22,8631,32341
Mar 23,10410,42751
Mar 24,9939,52690
Mar 25,12226,64916
Mar 26,17050,81966
Mar 27,19046,101012
Mar 28,20093,121105
Mar 29,19118,140223
Mar 30,20463,160686
Mar 31,25305,185991
Apr 1,26756,212747
Apr 2,28879,241626
Apr 3,32525,274151
Apr 4,33725,307876
Apr 5,25717,333593
Apr 6,29359,362952
Apr 7,30512,393464
Apr 8,32282,425746
Apr 9,34243,459989
Apr 10,33578,493567
Apr 11,31869,525436
Apr 12,28057,553493
Apr 13,24685,578178
Apr 14,25987,604165
Apr 15,29465,633630
Apr 16,32076,665706
Apr 17,30915,696621
Apr 18,28084,724705
Apr 19,26013,750718
Apr 20,25132,775850
Apr 21,25178,801028
Apr 22,29246,830274
Apr 23,31277,861551
Apr 24,35930,897481
Apr 25,34782,932263
Apr 26,26858,959121
Apr 27,22042,981163
Apr 28,24359,1005522
Apr 29,25869,1031391
Apr 30,29637,1061028
May 1,32964,1093992
May 2,30531,1124523
May 3,25382,1149905
May 4,21278,1171183
May 5,22226,1193409
May 6,24805,1218214
May 7,27514,1245728
May 8,27095,1272823
May 9,25537,1298360
May 10,20687,1319047
May 11,17777,1336824
May 12,21436,1358260
May 13,20481,1378741
May 14,26742,1405483
May 15,25335,1430818
May 16,24482,1455300
May 17,19692,1474992
May 18,21100,1496092
May 19,19658,1515750
May 20,22344,1538094
May 21,24942,1563036
May 22,22209,1585245
May 23,22695,1607940
May 24,20243,1628183
May 25,18543,1646726
May 26,16653,1663379
May 27,18666,1682045
May 28,22980,1705025
May 29,23497,1728522
May 30,23826,1752348
May 31,21686,1774034
Jun 1,16040,1790074
Jun 2,20039,1810113
Jun 3,19679,1829792
Jun 4,20975,1850767
Jun 5,23288,1874055
Jun 6,23381,1897436
Jun 7,18535,1915971
Jun 8,16301,1932272
Jun 9,17180,1949452
Jun 10,20246,1969698
Jun 11,17848,1987546
Jun 12,24422,2011968
Jun 13,25942,2037910
Jun 14,21141,2059051
Jun 15,18307,2077358
Jun 16,23048,2100406
Jun 17,23620,2124026
Jun 18,27082,2151108
Jun 19,30927,2182035
Jun 20,31963,2213998
Jun 21,28095,2242093
Jun 22,26558,2268651
Jun 23,33315,2301966
Jun 24,37945,2339911
Jun 25,38853,2378764
Jun 26,44726,2423490
Jun 27,43581,2467071
Jun 28,40691,2507762
Jun 29,36390,2544152
Jun 30,43865,2588017
Jul 1,52609,2640626
Jul 2,54869,2695495
Jul 3,57209,2752704
Jul 4,50693,2803397
Jul 5,42953,2846350
Jul 6,46733,2893083
Jul 7,51108,2944191
Jul 8,62459,3006650
Jul 9,57443,3064093
Jul 10,67021,3131114
Jul 11,62408,3193522
Jul 12,60964,3254486
Jul 13,57936,3312422
Jul 14,61834,3374256
Jul 15,65370,3439626
Jul 16,69984,3509610
Jul 17,76091,3585701
Jul 18,65389,3651090
Jul 19,63591,3714681
Jul 20,55896,3770577
Jul 21,63496,3834073
Jul 22,68377,3902450
Jul 23,70719,3973169
Jul 24,74360,4047529
Jul 25,65944,4113473
Jul 26,58631,4172104
Jul 27,54806,4226910
Jul 28,58540,4285450
Jul 29,63255,4348705
Jul 30,68543,4417248
Jul 31,66364,4483612
Aug 1,60817,4544429
Aug 2,53561,4597990
Aug 3,41963,4639953
Aug 4,51185,4691138
Aug 5,51884,4743022
Aug 6,53305,4796327
Aug 7,60184,4856511
Aug 8,55692,4912203
Aug 9,48769,4960972
Aug 10,40171,5001143
Aug 11,54443,5055586
Aug 12,55170,5110756
Aug 13,51335,5162091
Aug 14,55057,5217148
Aug 15,55348,5272496
Aug 16,42181,5314677
Aug 17,37240,5351917
Aug 18,39794,5391711
Aug 19,43798,5435509
Aug 20,43027,5478536
Aug 21,49743,5528279
Aug 22,46183,5574462
Aug 23,36422,5610884
Aug 24,33618,5644502
Aug 25,36047,5680549
Aug 26,42355,5722904
Aug 27,43814,5766718
Aug 28,45447,5812165
Aug 29,44269,5856434
Aug 30,36939,5893373
Aug 31,31658,5925031
Sep 1,41535,5966566
Sep 2,37630,6004196
Sep 3,42973,6047169
Sep 4,50183,6097352
Sep 5,43725,6141077
Sep 6,33174,6174251
Sep 7,26850,6201101
