w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,100,241,94,240,100,Click,483,finger, mobileDevice,chenchong
12,100,141,94,140,101,Click,478,finger, mobileDevice,chenchong
12,100,241,94,247,98,Click,439,finger, mobileDevice,chenchong
12,100,141,94,139,96,Click,413,finger, mobileDevice,chenchong
12,100,241,94,242,104,Click,358,finger, mobileDevice,chenchong
12,100,141,94,139,100,Click,492,finger, mobileDevice,chenchong
12,100,241,94,249,101,Click,372,finger, mobileDevice,chenchong
12,100,141,94,145,93,Click,412,finger, mobileDevice,chenchong
12,100,241,94,248,106,Click,360,finger, mobileDevice,chenchong
12,100,141,94,135,99,Click,452,finger, mobileDevice,chenchong
12,100,241,94,242,100,Click,358,finger, mobileDevice,chenchong
12,100,141,94,140,95,Click,361,finger, mobileDevice,chenchong
12,100,241,94,246,98,Click,358,finger, mobileDevice,chenchong
12,100,141,94,140,103,Click,361,finger, mobileDevice,chenchong
12,100,241,94,246,109,Click,378,finger, mobileDevice,chenchong
12,100,141,94,138,99,Click,471,finger, mobileDevice,chenchong
12,100,241,94,248,101,Click,290,finger, mobileDevice,chenchong
12,100,141,94,138,95,Click,331,finger, mobileDevice,chenchong
36,200,291,94,291,102,Click,348,finger, mobileDevice,chenchong
36,200,91,94,78,100,Click,387,finger, mobileDevice,chenchong
36,200,291,94,289,97,Click,422,finger, mobileDevice,chenchong
36,200,91,94,86,89,Click,465,finger, mobileDevice,chenchong
36,200,291,94,292,104,Click,372,finger, mobileDevice,chenchong
36,200,91,94,89,96,Click,399,finger, mobileDevice,chenchong
36,200,291,94,289,106,Click,372,finger, mobileDevice,chenchong
36,200,91,94,85,99,Click,416,finger, mobileDevice,chenchong
36,200,291,94,301,103,Click,355,finger, mobileDevice,chenchong
36,200,91,94,98,94,Click,375,finger, mobileDevice,chenchong
36,200,291,94,301,106,Click,357,finger, mobileDevice,chenchong
36,200,91,94,90,98,Click,373,finger, mobileDevice,chenchong
36,200,291,94,288,92,Click,363,finger, mobileDevice,chenchong
36,200,91,94,94,98,Click,343,finger, mobileDevice,chenchong
36,200,291,94,299,100,Click,289,finger, mobileDevice,chenchong
36,200,91,94,104,108,Click,345,finger, mobileDevice,chenchong
36,200,291,94,298,102,Click,330,finger, mobileDevice,chenchong
36,200,91,94,98,100,Click,318,finger, mobileDevice,chenchong
12,300,341,94,341,98,Click,786,finger, mobileDevice,chenchong
12,300,41,94,47,99,Click,614,finger, mobileDevice,chenchong
12,300,341,94,349,96,Click,608,finger, mobileDevice,chenchong
12,300,41,94,45,98,Click,649,finger, mobileDevice,chenchong
12,300,341,94,348,95,Click,571,finger, mobileDevice,chenchong
12,300,41,94,48,100,Click,637,finger, mobileDevice,chenchong
12,300,341,94,338,93,Click,637,finger, mobileDevice,chenchong
12,300,41,94,46,102,Click,610,finger, mobileDevice,chenchong
12,300,341,94,348,96,Click,599,finger, mobileDevice,chenchong
12,300,41,94,36,95,Click,698,finger, mobileDevice,chenchong
12,300,341,94,342,96,Click,623,finger, mobileDevice,chenchong
12,300,41,94,43,102,Click,637,finger, mobileDevice,chenchong
12,300,341,94,349,96,Click,612,finger, mobileDevice,chenchong
12,300,41,94,41,95,Click,611,finger, mobileDevice,chenchong
12,300,341,94,349,101,Click,649,finger, mobileDevice,chenchong
12,300,41,94,40,96,Click,687,finger, mobileDevice,chenchong
12,300,341,94,353,97,Click,599,finger, mobileDevice,chenchong
12,300,41,94,47,98,Click,622,finger, mobileDevice,chenchong
24,300,341,94,350,98,Click,557,finger, mobileDevice,chenchong
24,300,41,94,52,95,Click,637,finger, mobileDevice,chenchong
24,300,341,94,337,96,Click,532,finger, mobileDevice,chenchong
24,300,41,94,41,97,Click,530,finger, mobileDevice,chenchong
24,300,341,94,346,99,Click,546,finger, mobileDevice,chenchong
24,300,41,94,52,91,Click,610,finger, mobileDevice,chenchong
24,300,341,94,350,91,Click,557,finger, mobileDevice,chenchong
24,300,41,94,44,97,Click,582,finger, mobileDevice,chenchong
24,300,341,94,348,93,Click,558,finger, mobileDevice,chenchong
24,300,41,94,51,95,Click,625,finger, mobileDevice,chenchong
24,300,341,94,346,93,Click,506,finger, mobileDevice,chenchong
24,300,41,94,37,105,Click,556,finger, mobileDevice,chenchong
24,300,341,94,332,96,Click,490,finger, mobileDevice,chenchong
24,300,41,94,41,95,Click,545,finger, mobileDevice,chenchong
24,300,341,94,347,93,Click,530,finger, mobileDevice,chenchong
24,300,41,94,29,99,Click,533,finger, mobileDevice,chenchong
24,300,341,94,338,97,Click,597,finger, mobileDevice,chenchong
24,300,41,94,38,95,Click,518,finger, mobileDevice,chenchong
12,200,291,94,282,87,Click,636,finger, mobileDevice,chenchong
12,200,91,94,78,100,Click,557,finger, mobileDevice,chenchong
12,200,291,94,289,100,Click,571,finger, mobileDevice,chenchong
12,200,91,94,88,94,Click,572,finger, mobileDevice,chenchong
12,200,291,94,290,95,Click,477,finger, mobileDevice,chenchong
12,200,91,94,89,92,Click,531,finger, mobileDevice,chenchong
12,200,291,94,295,98,Click,465,finger, mobileDevice,chenchong
12,200,91,94,85,95,Click,532,finger, mobileDevice,chenchong
12,200,291,94,289,101,Click,424,finger, mobileDevice,chenchong
12,200,91,94,95,91,Click,545,finger, mobileDevice,chenchong
12,200,291,94,292,97,Click,464,finger, mobileDevice,chenchong
12,200,91,94,76,96,Click,532,finger, mobileDevice,chenchong
12,200,291,94,294,101,Click,452,finger, mobileDevice,chenchong
12,200,91,94,99,98,Click,543,finger, mobileDevice,chenchong
12,200,291,94,294,99,Click,491,finger, mobileDevice,chenchong
12,200,91,94,91,92,Click,572,finger, mobileDevice,chenchong
12,200,291,94,282,98,Click,504,finger, mobileDevice,chenchong
12,200,91,94,82,98,Click,626,finger, mobileDevice,chenchong
36,100,241,94,230,91,Click,436,finger, mobileDevice,chenchong
36,100,141,94,135,85,Click,361,finger, mobileDevice,chenchong
36,100,241,94,252,103,Click,304,finger, mobileDevice,chenchong
36,100,141,94,135,89,Click,303,finger, mobileDevice,chenchong
36,100,241,94,257,95,Click,238,finger, mobileDevice,chenchong
36,100,141,94,150,88,Click,252,finger, mobileDevice,chenchong
36,100,241,94,260,98,Click,211,finger, mobileDevice,chenchong
36,100,141,94,145,102,Click,238,finger, mobileDevice,chenchong
36,100,241,94,255,101,Click,212,finger, mobileDevice,chenchong
36,100,141,94,144,96,Click,237,finger, mobileDevice,chenchong
