w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,300,341,94,345,98,Click,623,finger, mobileDevice,laihangguang
12,300,41,94,36,93,Click,557,finger, mobileDevice,laihangguang
12,300,341,94,348,89,Click,507,finger, mobileDevice,laihangguang
12,300,41,94,40,99,Click,574,finger, mobileDevice,laihangguang
12,300,341,94,346,90,Click,517,finger, mobileDevice,laihangguang
12,300,41,94,48,98,Click,534,finger, mobileDevice,laihangguang
12,300,341,94,340,106,Click,482,finger, mobileDevice,laihangguang
12,300,41,94,41,109,Click,529,finger, mobileDevice,laihangguang
12,300,341,94,349,99,Click,558,finger, mobileDevice,laihangguang
12,300,41,94,40,94,Click,611,finger, mobileDevice,laihangguang
12,300,341,94,347,106,Click,469,finger, mobileDevice,laihangguang
12,300,41,94,37,89,Click,610,finger, mobileDevice,laihangguang
12,300,341,94,345,95,Click,534,finger, mobileDevice,laihangguang
12,300,41,94,41,88,Click,557,finger, mobileDevice,laihangguang
12,300,341,94,335,93,Click,426,finger, mobileDevice,laihangguang
12,300,41,94,40,108,Click,612,finger, mobileDevice,laihangguang
12,300,341,94,337,92,Click,451,finger, mobileDevice,laihangguang
12,300,41,94,45,95,Click,559,finger, mobileDevice,laihangguang
24,300,341,94,345,98,Click,737,finger, mobileDevice,laihangguang
24,300,41,94,41,101,Click,466,finger, mobileDevice,laihangguang
24,300,341,94,339,101,Click,387,finger, mobileDevice,laihangguang
24,300,41,94,43,99,Click,439,finger, mobileDevice,laihangguang
24,300,341,94,335,99,Click,363,finger, mobileDevice,laihangguang
24,300,41,94,46,103,Click,450,finger, mobileDevice,laihangguang
24,300,341,94,337,91,Click,399,finger, mobileDevice,laihangguang
24,300,41,94,47,95,Click,427,finger, mobileDevice,laihangguang
24,300,341,94,333,99,Click,401,finger, mobileDevice,laihangguang
24,300,41,94,43,113,Click,426,finger, mobileDevice,laihangguang
24,300,341,94,341,88,Click,426,finger, mobileDevice,laihangguang
24,300,41,94,52,79,Click,411,finger, mobileDevice,laihangguang
24,300,341,94,341,85,Click,454,finger, mobileDevice,laihangguang
24,300,41,94,55,110,Click,491,finger, mobileDevice,laihangguang
24,300,341,94,345,97,Click,574,finger, mobileDevice,laihangguang
24,300,41,94,48,100,Click,472,finger, mobileDevice,laihangguang
24,300,341,94,335,102,Click,365,finger, mobileDevice,laihangguang
24,300,41,94,49,101,Click,440,finger, mobileDevice,laihangguang
24,200,291,94,313,109,Click,373,finger, mobileDevice,laihangguang
24,200,91,94,97,97,Click,439,finger, mobileDevice,laihangguang
24,200,291,94,298,103,Click,319,finger, mobileDevice,laihangguang
24,200,91,94,88,94,Click,385,finger, mobileDevice,laihangguang
24,200,291,94,286,96,Click,292,finger, mobileDevice,laihangguang
24,200,91,94,67,98,Click,373,finger, mobileDevice,laihangguang
24,200,291,94,278,103,Click,305,finger, mobileDevice,laihangguang
24,200,91,94,91,99,Click,359,finger, mobileDevice,laihangguang
24,200,291,94,292,96,Click,385,finger, mobileDevice,laihangguang
24,200,91,94,91,88,Click,402,finger, mobileDevice,laihangguang
24,200,291,94,283,103,Click,346,finger, mobileDevice,laihangguang
24,200,91,94,92,105,Click,477,finger, mobileDevice,laihangguang
24,200,291,94,294,101,Click,373,finger, mobileDevice,laihangguang
24,200,91,94,89,101,Click,440,finger, mobileDevice,laihangguang
24,200,291,94,293,90,Click,431,finger, mobileDevice,laihangguang
24,200,91,94,94,97,Click,449,finger, mobileDevice,laihangguang
