w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,300,341,94,337,87,Click,584,finger, mobileDevice,liufeng
12,300,41,94,40,92,Click,712,finger, mobileDevice,liufeng
12,300,341,94,349,95,Click,571,finger, mobileDevice,liufeng
12,300,41,94,40,96,Click,611,finger, mobileDevice,liufeng
12,300,341,94,340,97,Click,571,finger, mobileDevice,liufeng
12,300,41,94,43,100,Click,584,finger, mobileDevice,liufeng
12,300,341,94,343,94,Click,570,finger, mobileDevice,liufeng
12,300,41,94,46,97,Click,585,finger, mobileDevice,liufeng
12,300,341,94,354,97,Click,545,finger, mobileDevice,liufeng
12,300,41,94,41,97,Click,582,finger, mobileDevice,liufeng
12,300,341,94,344,96,Click,583,finger, mobileDevice,liufeng
12,300,41,94,37,97,Click,624,finger, mobileDevice,liufeng
12,300,341,94,343,92,Click,557,finger, mobileDevice,liufeng
12,300,41,94,42,95,Click,597,finger, mobileDevice,liufeng
12,300,341,94,341,94,Click,518,finger, mobileDevice,liufeng
12,300,41,94,42,102,Click,597,finger, mobileDevice,liufeng
12,300,341,94,345,97,Click,543,finger, mobileDevice,liufeng
12,300,41,94,48,93,Click,575,finger, mobileDevice,liufeng
36,300,341,94,341,102,Click,476,finger, mobileDevice,liufeng
36,300,41,94,47,93,Click,467,finger, mobileDevice,liufeng
36,300,341,94,350,101,Click,476,finger, mobileDevice,liufeng
36,300,41,94,45,101,Click,465,finger, mobileDevice,liufeng
36,300,341,94,339,102,Click,457,finger, mobileDevice,liufeng
36,300,41,94,50,100,Click,460,finger, mobileDevice,liufeng
36,300,341,94,339,108,Click,438,finger, mobileDevice,liufeng
36,300,41,94,51,92,Click,453,finger, mobileDevice,liufeng
36,300,341,94,333,97,Click,453,finger, mobileDevice,liufeng
36,300,41,94,37,88,Click,489,finger, mobileDevice,liufeng
36,300,341,94,331,99,Click,467,finger, mobileDevice,liufeng
36,300,41,94,41,102,Click,475,finger, mobileDevice,liufeng
36,300,341,94,346,105,Click,465,finger, mobileDevice,liufeng
36,300,41,94,38,85,Click,478,finger, mobileDevice,liufeng
36,300,341,94,340,99,Click,442,finger, mobileDevice,liufeng
36,300,41,94,40,92,Click,452,finger, mobileDevice,liufeng
36,300,341,94,337,99,Click,434,finger, mobileDevice,liufeng
36,300,41,94,49,90,Click,465,finger, mobileDevice,liufeng
24,300,341,94,343,93,Click,557,finger, mobileDevice,liufeng
24,300,41,94,40,97,Click,585,finger, mobileDevice,liufeng
24,300,341,94,353,89,Click,517,finger, mobileDevice,liufeng
24,300,41,94,43,96,Click,491,finger, mobileDevice,liufeng
24,300,341,94,333,101,Click,518,finger, mobileDevice,liufeng
24,300,41,94,29,93,Click,517,finger, mobileDevice,liufeng
24,300,341,94,340,93,Click,492,finger, mobileDevice,liufeng
24,300,41,94,52,88,Click,517,finger, mobileDevice,liufeng
24,300,341,94,345,102,Click,532,finger, mobileDevice,liufeng
24,300,41,94,38,90,Click,544,finger, mobileDevice,liufeng
24,300,341,94,339,95,Click,464,finger, mobileDevice,liufeng
24,300,41,94,47,89,Click,518,finger, mobileDevice,liufeng
24,300,341,94,341,97,Click,455,finger, mobileDevice,liufeng
24,300,41,94,37,93,Click,528,finger, mobileDevice,liufeng
24,300,341,94,339,92,Click,464,finger, mobileDevice,liufeng
24,300,41,94,33,93,Click,531,finger, mobileDevice,liufeng
24,300,341,94,341,102,Click,492,finger, mobileDevice,liufeng
24,300,41,94,46,93,Click,531,finger, mobileDevice,liufeng
12,100,241,94,240,95,Click,479,finger, mobileDevice,liufeng
12,100,141,94,136,92,Click,345,finger, mobileDevice,liufeng
12,100,241,94,242,101,Click,361,finger, mobileDevice,liufeng
12,100,141,94,135,103,Click,302,finger, mobileDevice,liufeng
12,100,241,94,255,98,Click,291,finger, mobileDevice,liufeng
12,100,141,94,137,99,Click,317,finger, mobileDevice,liufeng
12,100,241,94,253,96,Click,278,finger, mobileDevice,liufeng
12,100,141,94,135,94,Click,291,finger, mobileDevice,liufeng
12,100,241,94,254,98,Click,265,finger, mobileDevice,liufeng
12,100,141,94,129,104,Click,290,finger, mobileDevice,liufeng
12,100,241,94,255,105,Click,265,finger, mobileDevice,liufeng
12,100,141,94,142,98,Click,277,finger, mobileDevice,liufeng
12,100,241,94,252,97,Click,277,finger, mobileDevice,liufeng
12,100,141,94,137,101,Click,278,finger, mobileDevice,liufeng
12,100,241,94,251,100,Click,265,finger, mobileDevice,liufeng
12,100,141,94,143,97,Click,277,finger, mobileDevice,liufeng
12,100,241,94,245,96,Click,265,finger, mobileDevice,liufeng
12,100,141,94,146,94,Click,264,finger, mobileDevice,liufeng
24,100,241,94,241,99,Click,2654,finger, mobileDevice,liufeng
24,100,141,94,145,89,Click,399,finger, mobileDevice,liufeng
24,100,241,94,242,100,Click,289,finger, mobileDevice,liufeng
24,100,141,94,142,99,Click,304,finger, mobileDevice,liufeng
24,100,241,94,250,107,Click,277,finger, mobileDevice,liufeng
24,100,141,94,138,96,Click,293,finger, mobileDevice,liufeng
24,100,241,94,250,99,Click,266,finger, mobileDevice,liufeng
24,100,141,94,144,99,Click,261,finger, mobileDevice,liufeng
24,100,241,94,256,98,Click,240,finger, mobileDevice,liufeng
24,100,141,94,138,102,Click,263,finger, mobileDevice,liufeng
24,100,241,94,248,103,Click,264,finger, mobileDevice,liufeng
24,100,141,94,143,103,Click,252,finger, mobileDevice,liufeng
24,100,241,94,250,101,Click,237,finger, mobileDevice,liufeng
24,100,141,94,134,98,Click,277,finger, mobileDevice,liufeng
24,100,241,94,247,106,Click,252,finger, mobileDevice,liufeng
24,100,141,94,143,102,Click,251,finger, mobileDevice,liufeng
24,100,241,94,249,95,Click,237,finger, mobileDevice,liufeng
24,100,141,94,143,93,Click,252,finger, mobileDevice,liufeng
24,200,291,94,300,89,Click,439,finger, mobileDevice,liufeng
24,200,91,94,81,95,Click,518,finger, mobileDevice,liufeng
24,200,291,94,290,103,Click,413,finger, mobileDevice,liufeng
24,200,91,94,88,91,Click,477,finger, mobileDevice,liufeng
24,200,291,94,281,100,Click,413,finger, mobileDevice,liufeng
24,200,91,94,92,101,Click,479,finger, mobileDevice,liufeng
24,200,291,94,285,106,Click,372,finger, mobileDevice,liufeng
24,200,91,94,99,107,Click,371,finger, mobileDevice,liufeng
24,200,291,94,292,103,Click,359,finger, mobileDevice,liufeng
24,200,91,94,84,94,Click,374,finger, mobileDevice,liufeng
24,200,291,94,289,94,Click,330,finger, mobileDevice,liufeng
24,200,91,94,84,99,Click,360,finger, mobileDevice,liufeng
24,200,291,94,284,94,Click,400,finger, mobileDevice,liufeng
24,200,91,94,81,90,Click,410,finger, mobileDevice,liufeng
24,200,291,94,283,90,Click,317,finger, mobileDevice,liufeng
24,200,91,94,78,96,Click,425,finger, mobileDevice,liufeng
24,200,291,94,277,106,Click,359,finger, mobileDevice,liufeng
24,200,91,94,87,105,Click,369,finger, mobileDevice,liufeng
36,200,291,94,277,95,Click,385,finger, mobileDevice,liufeng
