w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,100,241,94,245,104,Click,583,finger, mobileDevice,liuzf
12,100,141,94,134,97,Click,596,finger, mobileDevice,liuzf
12,100,241,94,257,98,Click,517,finger, mobileDevice,liuzf
12,100,141,94,134,97,Click,532,finger, mobileDevice,liuzf
12,100,241,94,236,100,Click,466,finger, mobileDevice,liuzf
12,100,141,94,140,96,Click,504,finger, mobileDevice,liuzf
12,100,241,94,237,96,Click,456,finger, mobileDevice,liuzf
12,100,141,94,142,100,Click,461,finger, mobileDevice,liuzf
12,100,241,94,243,101,Click,426,finger, mobileDevice,liuzf
12,100,141,94,139,99,Click,464,finger, mobileDevice,liuzf
12,100,241,94,240,99,Click,400,finger, mobileDevice,liuzf
12,100,141,94,144,96,Click,412,finger, mobileDevice,liuzf
12,100,241,94,240,103,Click,416,finger, mobileDevice,liuzf
12,100,141,94,137,104,Click,448,finger, mobileDevice,liuzf
12,100,241,94,237,97,Click,399,finger, mobileDevice,liuzf
12,100,141,94,144,99,Click,373,finger, mobileDevice,liuzf
12,100,241,94,239,106,Click,373,finger, mobileDevice,liuzf
12,100,141,94,146,97,Click,344,finger, mobileDevice,liuzf
24,200,291,94,293,102,Click,544,finger, mobileDevice,liuzf
24,200,91,94,84,91,Click,480,finger, mobileDevice,liuzf
24,200,291,94,293,101,Click,453,finger, mobileDevice,liuzf
24,200,91,94,96,98,Click,450,finger, mobileDevice,liuzf
24,200,291,94,284,107,Click,425,finger, mobileDevice,liuzf
24,200,91,94,93,102,Click,479,finger, mobileDevice,liuzf
24,200,291,94,272,102,Click,411,finger, mobileDevice,liuzf
24,200,91,94,87,107,Click,532,finger, mobileDevice,liuzf
24,200,291,94,291,101,Click,430,finger, mobileDevice,liuzf
24,200,91,94,96,101,Click,448,finger, mobileDevice,liuzf
24,200,291,94,293,100,Click,412,finger, mobileDevice,liuzf
24,200,91,94,89,100,Click,425,finger, mobileDevice,liuzf
24,200,291,94,275,104,Click,415,finger, mobileDevice,liuzf
24,200,91,94,104,99,Click,555,finger, mobileDevice,liuzf
24,200,291,94,290,104,Click,413,finger, mobileDevice,liuzf
24,200,91,94,94,106,Click,438,finger, mobileDevice,liuzf
24,200,291,94,290,101,Click,425,finger, mobileDevice,liuzf
24,200,91,94,90,96,Click,427,finger, mobileDevice,liuzf
36,100,241,94,249,102,Click,304,finger, mobileDevice,liuzf
36,100,141,94,136,106,Click,331,finger, mobileDevice,liuzf
36,100,241,94,246,96,Click,265,finger, mobileDevice,liuzf
36,100,141,94,140,105,Click,465,finger, mobileDevice,liuzf
36,100,241,94,245,98,Click,264,finger, mobileDevice,liuzf
36,100,141,94,145,103,Click,278,finger, mobileDevice,liuzf
36,100,241,94,248,104,Click,238,finger, mobileDevice,liuzf
36,100,141,94,142,106,Click,264,finger, mobileDevice,liuzf
36,100,241,94,250,101,Click,239,finger, mobileDevice,liuzf
36,100,141,94,149,98,Click,239,finger, mobileDevice,liuzf
36,100,241,94,254,102,Click,237,finger, mobileDevice,liuzf
36,100,141,94,146,102,Click,251,finger, mobileDevice,liuzf
36,100,241,94,246,99,Click,252,finger, mobileDevice,liuzf
36,100,141,94,148,95,Click,238,finger, mobileDevice,liuzf
36,100,241,94,246,103,Click,225,finger, mobileDevice,liuzf
36,100,141,94,150,100,Click,238,finger, mobileDevice,liuzf
36,100,241,94,249,102,Click,251,finger, mobileDevice,liuzf
36,100,141,94,156,99,Click,238,finger, mobileDevice,liuzf
24,300,341,94,338,94,Click,624,finger, mobileDevice,liuzf
24,300,41,94,49,92,Click,587,finger, mobileDevice,liuzf
24,300,341,94,341,99,Click,711,finger, mobileDevice,liuzf
24,300,41,94,38,95,Click,545,finger, mobileDevice,liuzf
24,300,341,94,345,91,Click,623,finger, mobileDevice,liuzf
24,300,41,94,48,88,Click,584,finger, mobileDevice,liuzf
24,300,341,94,342,97,Click,572,finger, mobileDevice,liuzf
24,300,41,94,41,101,Click,543,finger, mobileDevice,liuzf
24,300,341,94,346,92,Click,518,finger, mobileDevice,liuzf
24,300,41,94,43,107,Click,571,finger, mobileDevice,liuzf
24,300,341,94,331,107,Click,492,finger, mobileDevice,liuzf
24,300,41,94,43,105,Click,611,finger, mobileDevice,liuzf
24,300,341,94,337,104,Click,530,finger, mobileDevice,liuzf
24,300,41,94,41,81,Click,586,finger, mobileDevice,liuzf
24,300,341,94,327,83,Click,734,finger, mobileDevice,liuzf
24,300,41,94,39,96,Click,585,finger, mobileDevice,liuzf
