w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,300,341,94,344,102,Click,382,finger, mobileDevice,wangcong
24,300,41,94,33,107,Click,492,finger, mobileDevice,wangcong
24,300,341,94,350,99,Click,505,finger, mobileDevice,wangcong
24,300,41,94,34,98,Click,412,finger, mobileDevice,wangcong
24,300,341,94,346,106,Click,387,finger, mobileDevice,wangcong
24,300,41,94,34,95,Click,411,finger, mobileDevice,wangcong
24,300,341,94,347,94,Click,401,finger, mobileDevice,wangcong
24,300,41,94,41,104,Click,438,finger, mobileDevice,wangcong
24,300,341,94,347,94,Click,419,finger, mobileDevice,wangcong
24,300,41,94,41,96,Click,393,finger, mobileDevice,wangcong
24,300,341,94,351,95,Click,417,finger, mobileDevice,wangcong
24,300,41,94,39,107,Click,369,finger, mobileDevice,wangcong
24,300,341,94,346,107,Click,412,finger, mobileDevice,wangcong
24,300,41,94,35,108,Click,386,finger, mobileDevice,wangcong
24,300,341,94,351,111,Click,412,finger, mobileDevice,wangcong
24,300,41,94,25,104,Click,490,finger, mobileDevice,wangcong
24,300,341,94,342,88,Click,493,finger, mobileDevice,wangcong
24,300,41,94,42,93,Click,457,finger, mobileDevice,wangcong
12,100,241,94,242,107,Click,346,finger, mobileDevice,wangcong
12,100,141,94,137,107,Click,292,finger, mobileDevice,wangcong
12,100,241,94,246,101,Click,331,finger, mobileDevice,wangcong
12,100,141,94,139,96,Click,304,finger, mobileDevice,wangcong
12,100,241,94,249,103,Click,265,finger, mobileDevice,wangcong
12,100,141,94,136,112,Click,277,finger, mobileDevice,wangcong
12,100,241,94,254,99,Click,278,finger, mobileDevice,wangcong
12,100,141,94,137,103,Click,265,finger, mobileDevice,wangcong
12,100,241,94,249,109,Click,252,finger, mobileDevice,wangcong
12,100,141,94,134,111,Click,278,finger, mobileDevice,wangcong
12,100,241,94,254,107,Click,277,finger, mobileDevice,wangcong
12,100,141,94,140,101,Click,239,finger, mobileDevice,wangcong
12,100,241,94,255,98,Click,250,finger, mobileDevice,wangcong
12,100,141,94,135,106,Click,265,finger, mobileDevice,wangcong
12,100,241,94,249,103,Click,238,finger, mobileDevice,wangcong
12,100,141,94,139,100,Click,252,finger, mobileDevice,wangcong
12,100,241,94,243,104,Click,223,finger, mobileDevice,wangcong
12,100,141,94,142,101,Click,227,finger, mobileDevice,wangcong
12,200,291,94,295,100,Click,532,finger, mobileDevice,wangcong
12,200,91,94,84,94,Click,466,finger, mobileDevice,wangcong
12,200,291,94,293,94,Click,452,finger, mobileDevice,wangcong
12,200,91,94,85,100,Click,478,finger, mobileDevice,wangcong
12,200,291,94,285,92,Click,374,finger, mobileDevice,wangcong
12,200,91,94,82,99,Click,451,finger, mobileDevice,wangcong
12,200,291,94,286,94,Click,373,finger, mobileDevice,wangcong
12,200,91,94,101,98,Click,399,finger, mobileDevice,wangcong
12,200,291,94,290,108,Click,373,finger, mobileDevice,wangcong
12,200,91,94,95,103,Click,360,finger, mobileDevice,wangcong
12,200,291,94,296,107,Click,330,finger, mobileDevice,wangcong
12,200,91,94,97,116,Click,330,finger, mobileDevice,wangcong
12,200,291,94,295,97,Click,375,finger, mobileDevice,wangcong
12,200,91,94,93,91,Click,344,finger, mobileDevice,wangcong
12,200,291,94,292,97,Click,305,finger, mobileDevice,wangcong
12,200,91,94,91,94,Click,362,finger, mobileDevice,wangcong
12,200,291,94,293,104,Click,1394,finger, mobileDevice,wangcong
12,200,91,94,85,104,Click,438,finger, mobileDevice,wangcong
24,200,291,94,281,97,Click,265,finger, mobileDevice,wangcong
24,200,91,94,82,104,Click,318,finger, mobileDevice,wangcong
24,200,291,94,289,105,Click,251,finger, mobileDevice,wangcong
24,200,91,94,86,98,Click,318,finger, mobileDevice,wangcong
24,200,291,94,274,99,Click,264,finger, mobileDevice,wangcong
24,200,91,94,85,105,Click,278,finger, mobileDevice,wangcong
24,200,291,94,281,103,Click,251,finger, mobileDevice,wangcong
24,200,91,94,98,111,Click,292,finger, mobileDevice,wangcong
24,200,291,94,279,90,Click,251,finger, mobileDevice,wangcong
24,200,91,94,88,100,Click,318,finger, mobileDevice,wangcong
24,200,291,94,272,94,Click,264,finger, mobileDevice,wangcong
24,200,91,94,75,94,Click,304,finger, mobileDevice,wangcong
24,200,291,94,267,92,Click,304,finger, mobileDevice,wangcong
24,200,91,94,88,90,Click,305,finger, mobileDevice,wangcong
24,200,291,94,266,102,Click,290,finger, mobileDevice,wangcong
24,200,91,94,84,109,Click,305,finger, mobileDevice,wangcong
24,200,291,94,277,106,Click,251,finger, mobileDevice,wangcong
24,200,91,94,102,99,Click,292,finger, mobileDevice,wangcong
36,200,291,94,300,97,Click,454,finger, mobileDevice,wangcong
36,200,91,94,79,82,Click,390,finger, mobileDevice,wangcong
