w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,200,291,94,288,100,Click,390,finger, mobileDevice,wangxiaoyu
24,200,91,94,77,102,Click,467,finger, mobileDevice,wangxiaoyu
24,200,291,94,294,104,Click,398,finger, mobileDevice,wangxiaoyu
24,200,91,94,94,101,Click,453,finger, mobileDevice,wangxiaoyu
24,200,291,94,296,100,Click,374,finger, mobileDevice,wangxiaoyu
24,200,91,94,99,97,Click,397,finger, mobileDevice,wangxiaoyu
24,200,291,94,301,107,Click,352,finger, mobileDevice,wangxiaoyu
24,200,91,94,94,98,Click,394,finger, mobileDevice,wangxiaoyu
24,200,291,94,302,99,Click,346,finger, mobileDevice,wangxiaoyu
24,200,91,94,109,97,Click,372,finger, mobileDevice,wangxiaoyu
24,200,291,94,303,101,Click,331,finger, mobileDevice,wangxiaoyu
24,200,91,94,99,105,Click,345,finger, mobileDevice,wangxiaoyu
24,200,291,94,288,99,Click,291,finger, mobileDevice,wangxiaoyu
24,200,91,94,108,104,Click,331,finger, mobileDevice,wangxiaoyu
24,200,291,94,289,99,Click,291,finger, mobileDevice,wangxiaoyu
24,200,91,94,102,101,Click,305,finger, mobileDevice,wangxiaoyu
24,200,291,94,288,97,Click,303,finger, mobileDevice,wangxiaoyu
24,200,91,94,94,109,Click,292,finger, mobileDevice,wangxiaoyu
36,300,341,94,348,86,Click,425,finger, mobileDevice,wangxiaoyu
36,300,41,94,27,111,Click,532,finger, mobileDevice,wangxiaoyu
36,300,341,94,348,92,Click,438,finger, mobileDevice,wangxiaoyu
36,300,41,94,44,89,Click,493,finger, mobileDevice,wangxiaoyu
36,300,341,94,341,89,Click,372,finger, mobileDevice,wangxiaoyu
36,300,41,94,22,111,Click,480,finger, mobileDevice,wangxiaoyu
36,300,341,94,349,89,Click,424,finger, mobileDevice,wangxiaoyu
36,300,41,94,29,100,Click,480,finger, mobileDevice,wangxiaoyu
36,300,341,94,329,92,Click,371,finger, mobileDevice,wangxiaoyu
36,300,41,94,44,95,Click,428,finger, mobileDevice,wangxiaoyu
36,300,341,94,350,105,Click,382,finger, mobileDevice,wangxiaoyu
36,300,41,94,53,99,Click,417,finger, mobileDevice,wangxiaoyu
36,300,341,94,335,109,Click,397,finger, mobileDevice,wangxiaoyu
36,300,41,94,29,102,Click,432,finger, mobileDevice,wangxiaoyu
36,300,341,94,352,92,Click,313,finger, mobileDevice,wangxiaoyu
36,300,41,94,42,97,Click,437,finger, mobileDevice,wangxiaoyu
36,300,341,94,321,108,Click,346,finger, mobileDevice,wangxiaoyu
36,300,41,94,31,110,Click,450,finger, mobileDevice,wangxiaoyu
12,300,341,94,332,98,Click,558,finger, mobileDevice,wangxiaoyu
12,300,41,94,38,95,Click,545,finger, mobileDevice,wangxiaoyu
12,300,341,94,340,106,Click,505,finger, mobileDevice,wangxiaoyu
12,300,41,94,32,91,Click,533,finger, mobileDevice,wangxiaoyu
12,300,341,94,326,103,Click,517,finger, mobileDevice,wangxiaoyu
12,300,41,94,41,100,Click,878,finger, mobileDevice,wangxiaoyu
12,300,341,94,343,101,Click,560,finger, mobileDevice,wangxiaoyu
12,300,41,94,47,98,Click,516,finger, mobileDevice,wangxiaoyu
