w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,200,291,94,294,94,Click,504,finger, mobileDevice,wuyongyu
12,200,91,94,85,98,Click,534,finger, mobileDevice,wuyongyu
12,200,291,94,289,107,Click,529,finger, mobileDevice,wuyongyu
12,200,91,94,82,95,Click,546,finger, mobileDevice,wuyongyu
12,200,291,94,298,100,Click,491,finger, mobileDevice,wuyongyu
12,200,91,94,83,91,Click,479,finger, mobileDevice,wuyongyu
12,200,291,94,312,106,Click,439,finger, mobileDevice,wuyongyu
12,200,91,94,85,98,Click,439,finger, mobileDevice,wuyongyu
12,200,291,94,308,105,Click,414,finger, mobileDevice,wuyongyu
12,200,91,94,83,94,Click,411,finger, mobileDevice,wuyongyu
12,200,291,94,304,105,Click,373,finger, mobileDevice,wuyongyu
12,200,91,94,91,98,Click,398,finger, mobileDevice,wuyongyu
12,200,291,94,295,105,Click,387,finger, mobileDevice,wuyongyu
12,200,91,94,90,97,Click,386,finger, mobileDevice,wuyongyu
12,200,291,94,297,103,Click,346,finger, mobileDevice,wuyongyu
12,200,91,94,89,101,Click,373,finger, mobileDevice,wuyongyu
12,200,291,94,294,105,Click,332,finger, mobileDevice,wuyongyu
12,200,91,94,91,104,Click,411,finger, mobileDevice,wuyongyu
36,200,291,94,308,89,Click,386,finger, mobileDevice,wuyongyu
36,200,91,94,87,97,Click,458,finger, mobileDevice,wuyongyu
36,200,291,94,292,103,Click,353,finger, mobileDevice,wuyongyu
36,200,91,94,104,105,Click,292,finger, mobileDevice,wuyongyu
36,200,291,94,300,95,Click,225,finger, mobileDevice,wuyongyu
36,200,91,94,113,94,Click,265,finger, mobileDevice,wuyongyu
36,200,291,94,293,96,Click,211,finger, mobileDevice,wuyongyu
36,200,91,94,104,103,Click,252,finger, mobileDevice,wuyongyu
36,200,291,94,285,100,Click,198,finger, mobileDevice,wuyongyu
36,200,91,94,103,105,Click,238,finger, mobileDevice,wuyongyu
36,200,291,94,286,96,Click,212,finger, mobileDevice,wuyongyu
36,200,91,94,109,98,Click,225,finger, mobileDevice,wuyongyu
36,200,291,94,299,95,Click,211,finger, mobileDevice,wuyongyu
36,200,91,94,98,94,Click,252,finger, mobileDevice,wuyongyu
36,200,291,94,281,99,Click,212,finger, mobileDevice,wuyongyu
36,200,91,94,110,100,Click,238,finger, mobileDevice,wuyongyu
36,200,291,94,292,99,Click,211,finger, mobileDevice,wuyongyu
36,200,91,94,100,101,Click,225,finger, mobileDevice,wuyongyu
12,100,241,94,249,87,Click,145,finger, mobileDevice,wuyongyu
12,100,141,94,148,93,Click,213,finger, mobileDevice,wuyongyu
12,100,241,94,245,94,Click,158,finger, mobileDevice,wuyongyu
12,100,141,94,138,99,Click,185,finger, mobileDevice,wuyongyu
12,100,241,94,249,96,Click,185,finger, mobileDevice,wuyongyu
12,100,141,94,143,101,Click,186,finger, mobileDevice,wuyongyu
12,100,241,94,245,95,Click,158,finger, mobileDevice,wuyongyu
12,100,141,94,140,97,Click,185,finger, mobileDevice,wuyongyu
12,100,241,94,252,97,Click,186,finger, mobileDevice,wuyongyu
12,100,141,94,134,103,Click,198,finger, mobileDevice,wuyongyu
12,100,241,94,241,100,Click,185,finger, mobileDevice,wuyongyu
12,100,141,94,139,99,Click,199,finger, mobileDevice,wuyongyu
12,100,241,94,242,101,Click,174,finger, mobileDevice,wuyongyu
