w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,300,341,94,331,99,Click,517,finger, mobileDevice,xieyunfei
24,300,41,94,38,113,Click,585,finger, mobileDevice,xieyunfei
24,300,341,94,344,107,Click,505,finger, mobileDevice,xieyunfei
24,300,41,94,50,95,Click,519,finger, mobileDevice,xieyunfei
24,300,341,94,343,107,Click,478,finger, mobileDevice,xieyunfei
24,300,41,94,34,101,Click,545,finger, mobileDevice,xieyunfei
24,300,341,94,343,92,Click,452,finger, mobileDevice,xieyunfei
24,300,41,94,36,111,Click,492,finger, mobileDevice,xieyunfei
24,300,341,94,337,103,Click,468,finger, mobileDevice,xieyunfei
24,300,41,94,45,107,Click,463,finger, mobileDevice,xieyunfei
24,300,341,94,341,100,Click,466,finger, mobileDevice,xieyunfei
24,300,41,94,43,104,Click,492,finger, mobileDevice,xieyunfei
24,300,341,94,347,110,Click,425,finger, mobileDevice,xieyunfei
24,300,41,94,47,96,Click,453,finger, mobileDevice,xieyunfei
24,300,341,94,348,91,Click,452,finger, mobileDevice,xieyunfei
24,300,41,94,36,104,Click,478,finger, mobileDevice,xieyunfei
24,300,341,94,334,98,Click,374,finger, mobileDevice,xieyunfei
24,300,41,94,37,102,Click,505,finger, mobileDevice,xieyunfei
36,100,241,94,242,109,Click,251,finger, mobileDevice,xieyunfei
36,100,141,94,137,98,Click,279,finger, mobileDevice,xieyunfei
36,100,241,94,253,93,Click,224,finger, mobileDevice,xieyunfei
36,100,141,94,133,95,Click,265,finger, mobileDevice,xieyunfei
36,100,241,94,249,99,Click,212,finger, mobileDevice,xieyunfei
36,100,141,94,136,100,Click,251,finger, mobileDevice,xieyunfei
36,100,241,94,255,103,Click,212,finger, mobileDevice,xieyunfei
36,100,141,94,140,95,Click,225,finger, mobileDevice,xieyunfei
36,100,241,94,254,100,Click,224,finger, mobileDevice,xieyunfei
36,100,141,94,138,102,Click,213,finger, mobileDevice,xieyunfei
36,100,241,94,245,105,Click,224,finger, mobileDevice,xieyunfei
36,100,141,94,143,97,Click,225,finger, mobileDevice,xieyunfei
36,100,241,94,252,100,Click,212,finger, mobileDevice,xieyunfei
36,100,141,94,151,93,Click,225,finger, mobileDevice,xieyunfei
36,100,241,94,252,101,Click,212,finger, mobileDevice,xieyunfei
36,100,141,94,142,107,Click,225,finger, mobileDevice,xieyunfei
36,100,241,94,260,109,Click,211,finger, mobileDevice,xieyunfei
36,100,141,94,150,96,Click,212,finger, mobileDevice,xieyunfei
36,200,291,94,295,93,Click,465,finger, mobileDevice,xieyunfei
36,200,91,94,87,92,Click,453,finger, mobileDevice,xieyunfei
36,200,291,94,310,100,Click,400,finger, mobileDevice,xieyunfei
36,200,91,94,79,93,Click,478,finger, mobileDevice,xieyunfei
36,200,291,94,291,100,Click,426,finger, mobileDevice,xieyunfei
36,200,91,94,85,97,Click,400,finger, mobileDevice,xieyunfei
36,200,291,94,290,97,Click,372,finger, mobileDevice,xieyunfei
36,200,91,94,88,97,Click,364,finger, mobileDevice,xieyunfei
36,200,291,94,288,108,Click,327,finger, mobileDevice,xieyunfei
36,200,91,94,93,98,Click,399,finger, mobileDevice,xieyunfei
36,200,291,94,284,116,Click,344,finger, mobileDevice,xieyunfei
36,200,91,94,86,96,Click,440,finger, mobileDevice,xieyunfei
36,200,291,94,290,95,Click,376,finger, mobileDevice,xieyunfei
36,200,91,94,96,90,Click,343,finger, mobileDevice,xieyunfei
36,200,291,94,296,103,Click,317,finger, mobileDevice,xieyunfei
36,200,91,94,97,97,Click,331,finger, mobileDevice,xieyunfei
36,200,291,94,280,112,Click,291,finger, mobileDevice,xieyunfei
36,200,91,94,92,106,Click,386,finger, mobileDevice,xieyunfei
12,300,341,94,325,104,Click,531,finger, mobileDevice,xieyunfei
12,300,41,94,34,91,Click,688,finger, mobileDevice,xieyunfei
12,300,341,94,336,100,Click,532,finger, mobileDevice,xieyunfei
12,300,41,94,32,99,Click,637,finger, mobileDevice,xieyunfei
12,300,341,94,343,103,Click,571,finger, mobileDevice,xieyunfei
12,300,41,94,40,94,Click,611,finger, mobileDevice,xieyunfei
12,300,341,94,341,97,Click,532,finger, mobileDevice,xieyunfei
12,300,41,94,47,97,Click,571,finger, mobileDevice,xieyunfei
12,300,341,94,340,93,Click,505,finger, mobileDevice,xieyunfei
12,300,41,94,37,98,Click,558,finger, mobileDevice,xieyunfei
12,300,341,94,338,97,Click,532,finger, mobileDevice,xieyunfei
12,300,41,94,38,95,Click,545,finger, mobileDevice,xieyunfei
12,300,341,94,334,106,Click,518,finger, mobileDevice,xieyunfei
12,300,41,94,44,87,Click,584,finger, mobileDevice,xieyunfei
12,300,341,94,338,99,Click,532,finger, mobileDevice,xieyunfei
12,300,41,94,35,98,Click,544,finger, mobileDevice,xieyunfei
12,300,341,94,337,98,Click,505,finger, mobileDevice,xieyunfei
12,300,41,94,45,88,Click,545,finger, mobileDevice,xieyunfei
36,300,341,94,345,92,Click,466,finger, mobileDevice,xieyunfei
36,300,41,94,30,97,Click,504,finger, mobileDevice,xieyunfei
36,300,341,94,346,103,Click,443,finger, mobileDevice,xieyunfei
36,300,41,94,42,95,Click,474,finger, mobileDevice,xieyunfei
36,300,341,94,342,110,Click,413,finger, mobileDevice,xieyunfei
36,300,41,94,42,99,Click,505,finger, mobileDevice,xieyunfei
36,300,341,94,354,101,Click,428,finger, mobileDevice,xieyunfei
36,300,41,94,33,110,Click,570,finger, mobileDevice,xieyunfei
36,300,341,94,345,109,Click,451,finger, mobileDevice,xieyunfei
36,300,41,94,24,100,Click,492,finger, mobileDevice,xieyunfei
36,300,341,94,345,118,Click,426,finger, mobileDevice,xieyunfei
36,300,41,94,31,102,Click,426,finger, mobileDevice,xieyunfei
36,300,341,94,340,97,Click,452,finger, mobileDevice,xieyunfei
36,300,41,94,33,95,Click,425,finger, mobileDevice,xieyunfei
36,300,341,94,342,100,Click,386,finger, mobileDevice,xieyunfei
36,300,41,94,34,96,Click,399,finger, mobileDevice,xieyunfei
36,300,341,94,344,93,Click,377,finger, mobileDevice,xieyunfei
36,300,41,94,36,101,Click,450,finger, mobileDevice,xieyunfei
24,200,291,94,301,93,Click,425,finger, mobileDevice,xieyunfei
24,200,91,94,71,91,Click,439,finger, mobileDevice,xieyunfei
24,200,291,94,289,93,Click,386,finger, mobileDevice,xieyunfei
24,200,91,94,90,88,Click,347,finger, mobileDevice,xieyunfei
24,200,291,94,279,96,Click,330,finger, mobileDevice,xieyunfei
24,200,91,94,85,98,Click,319,finger, mobileDevice,xieyunfei
24,200,291,94,275,98,Click,277,finger, mobileDevice,xieyunfei
24,200,91,94,95,106,Click,319,finger, mobileDevice,xieyunfei
24,200,291,94,287,102,Click,316,finger, mobileDevice,xieyunfei
24,200,91,94,77,92,Click,453,finger, mobileDevice,xieyunfei
24,200,291,94,289,102,Click,386,finger, mobileDevice,xieyunfei
24,200,91,94,83,96,Click,372,finger, mobileDevice,xieyunfei
24,200,291,94,290,96,Click,478,finger, mobileDevice,xieyunfei
24,200,91,94,79,101,Click,230,finger, mobileDevice,xieyunfei
24,200,291,94,274,98,Click,372,finger, mobileDevice,xieyunfei
24,200,91,94,72,96,Click,464,finger, mobileDevice,xieyunfei
24,200,291,94,274,98,Click,346,finger, mobileDevice,xieyunfei
24,200,91,94,76,100,Click,386,finger, mobileDevice,xieyunfei
12,200,291,94,292,96,Click,492,finger, mobileDevice,xieyunfei
12,200,91,94,82,92,Click,463,finger, mobileDevice,xieyunfei
12,200,291,94,293,91,Click,454,finger, mobileDevice,xieyunfei
12,200,91,94,79,100,Click,398,finger, mobileDevice,xieyunfei
12,200,291,94,297,92,Click,414,finger, mobileDevice,xieyunfei
12,200,91,94,88,93,Click,397,finger, mobileDevice,xieyunfei
12,200,291,94,287,90,Click,387,finger, mobileDevice,xieyunfei
12,200,91,94,77,104,Click,399,finger, mobileDevice,xieyunfei
12,200,291,94,286,95,Click,361,finger, mobileDevice,xieyunfei
12,200,91,94,84,96,Click,437,finger, mobileDevice,xieyunfei
12,200,291,94,291,98,Click,414,finger, mobileDevice,xieyunfei
12,200,91,94,84,102,Click,465,finger, mobileDevice,xieyunfei
12,200,291,94,284,101,Click,425,finger, mobileDevice,xieyunfei
12,200,91,94,78,99,Click,518,finger, mobileDevice,xieyunfei
12,200,291,94,280,98,Click,412,finger, mobileDevice,xieyunfei
12,200,91,94,76,102,Click,440,finger, mobileDevice,xieyunfei
12,200,291,94,279,99,Click,372,finger, mobileDevice,xieyunfei
12,200,91,94,96,98,Click,375,finger, mobileDevice,xieyunfei
12,100,241,94,244,97,Click,359,finger, mobileDevice,xieyunfei
12,100,141,94,133,91,Click,318,finger, mobileDevice,xieyunfei
12,100,241,94,242,92,Click,225,finger, mobileDevice,xieyunfei
12,100,141,94,128,98,Click,318,finger, mobileDevice,xieyunfei
12,100,241,94,241,93,Click,224,finger, mobileDevice,xieyunfei
12,100,141,94,131,93,Click,292,finger, mobileDevice,xieyunfei
12,100,241,94,247,92,Click,225,finger, mobileDevice,xieyunfei
12,100,141,94,136,95,Click,278,finger, mobileDevice,xieyunfei
12,100,241,94,245,97,Click,237,finger, mobileDevice,xieyunfei
12,100,141,94,139,95,Click,279,finger, mobileDevice,xieyunfei
12,100,241,94,244,93,Click,211,finger, mobileDevice,xieyunfei
12,100,141,94,142,98,Click,252,finger, mobileDevice,xieyunfei
12,100,241,94,251,92,Click,224,finger, mobileDevice,xieyunfei
12,100,141,94,138,98,Click,252,finger, mobileDevice,xieyunfei
12,100,241,94,247,94,Click,225,finger, mobileDevice,xieyunfei
12,100,141,94,141,97,Click,251,finger, mobileDevice,xieyunfei
12,100,241,94,245,102,Click,212,finger, mobileDevice,xieyunfei
12,100,141,94,141,99,Click,225,finger, mobileDevice,xieyunfei
24,100,241,94,247,99,Click,360,finger, mobileDevice,xieyunfei
24,100,141,94,118,101,Click,319,finger, mobileDevice,xieyunfei
24,100,241,94,244,105,Click,276,finger, mobileDevice,xieyunfei
24,100,141,94,135,98,Click,265,finger, mobileDevice,xieyunfei
24,100,241,94,251,99,Click,227,finger, mobileDevice,xieyunfei
24,100,141,94,138,96,Click,236,finger, mobileDevice,xieyunfei
24,100,241,94,249,95,Click,211,finger, mobileDevice,xieyunfei
24,100,141,94,142,97,Click,253,finger, mobileDevice,xieyunfei
24,100,241,94,250,99,Click,211,finger, mobileDevice,xieyunfei
24,100,141,94,131,99,Click,251,finger, mobileDevice,xieyunfei
24,100,241,94,245,96,Click,225,finger, mobileDevice,xieyunfei
24,100,141,94,139,100,Click,225,finger, mobileDevice,xieyunfei
24,100,241,94,245,97,Click,225,finger, mobileDevice,xieyunfei
24,100,141,94,143,93,Click,212,finger, mobileDevice,xieyunfei
24,100,241,94,256,91,Click,239,finger, mobileDevice,xieyunfei
24,100,141,94,137,101,Click,237,finger, mobileDevice,xieyunfei
24,100,241,94,245,97,Click,212,finger, mobileDevice,xieyunfei
24,100,141,94,142,97,Click,224,finger, mobileDevice,xieyunfei
