w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,200,291,45,283,61,Click,423,finger, mobileDevice,zhangjianye
12,200,91,45,95,54,Click,480,finger, mobileDevice,zhangjianye
12,200,291,45,312,54,Click,224,finger, mobileDevice,zhangjianye
12,200,91,45,91,55,Click,713,finger, mobileDevice,zhangjianye
12,200,291,45,289,56,Click,239,finger, mobileDevice,zhangjianye
12,200,91,45,91,60,Click,373,finger, mobileDevice,zhangjianye
12,200,291,45,295,56,Click,317,finger, mobileDevice,zhangjianye
12,200,91,45,101,65,Click,613,finger, mobileDevice,zhangjianye
12,200,291,45,295,59,Click,316,finger, mobileDevice,zhangjianye
12,200,91,45,97,60,Click,479,finger, mobileDevice,zhangjianye
12,200,291,45,304,54,Click,238,finger, mobileDevice,zhangjianye
12,200,91,45,101,60,Click,344,finger, mobileDevice,zhangjianye
12,200,291,45,306,61,Click,292,finger, mobileDevice,zhangjianye
12,200,91,45,105,61,Click,413,finger, mobileDevice,zhangjianye
12,200,291,45,296,47,Click,225,finger, mobileDevice,zhangjianye
12,200,91,45,100,62,Click,359,finger, mobileDevice,zhangjianye
12,200,291,45,281,57,Click,278,finger, mobileDevice,zhangjianye
12,200,91,45,97,63,Click,372,finger, mobileDevice,zhangjianye
24,100,241,45,240,54,Click,187,finger, mobileDevice,zhangjianye
24,100,141,45,145,59,Click,210,finger, mobileDevice,zhangjianye
24,100,241,45,222,61,Click,199,finger, mobileDevice,zhangjianye
24,100,141,45,148,61,Click,198,finger, mobileDevice,zhangjianye
24,100,241,45,244,62,Click,203,finger, mobileDevice,zhangjianye
24,100,141,45,139,61,Click,221,finger, mobileDevice,zhangjianye
24,100,241,45,226,63,Click,172,finger, mobileDevice,zhangjianye
24,100,141,45,145,59,Click,212,finger, mobileDevice,zhangjianye
24,100,241,45,232,62,Click,172,finger, mobileDevice,zhangjianye
24,100,141,45,157,63,Click,225,finger, mobileDevice,zhangjianye
24,100,241,45,238,63,Click,172,finger, mobileDevice,zhangjianye
24,100,141,45,146,55,Click,225,finger, mobileDevice,zhangjianye
24,100,241,45,230,54,Click,186,finger, mobileDevice,zhangjianye
24,100,141,45,143,61,Click,211,finger, mobileDevice,zhangjianye
24,100,241,45,240,62,Click,203,finger, mobileDevice,zhangjianye
24,100,141,45,140,62,Click,274,finger, mobileDevice,zhangjianye
24,100,241,45,239,55,Click,212,finger, mobileDevice,zhangjianye
24,100,141,45,143,65,Click,291,finger, mobileDevice,zhangjianye
36,300,341,45,342,55,Click,251,finger, mobileDevice,zhangjianye
36,300,41,45,59,69,Click,277,finger, mobileDevice,zhangjianye
36,300,341,45,303,59,Click,252,finger, mobileDevice,zhangjianye
36,300,41,45,32,71,Click,304,finger, mobileDevice,zhangjianye
36,300,341,45,340,50,Click,266,finger, mobileDevice,zhangjianye
36,300,41,45,56,51,Click,250,finger, mobileDevice,zhangjianye
36,300,341,45,350,57,Click,253,finger, mobileDevice,zhangjianye
36,300,41,45,52,70,Click,317,finger, mobileDevice,zhangjianye
36,300,341,45,340,55,Click,239,finger, mobileDevice,zhangjianye
36,300,41,45,47,64,Click,317,finger, mobileDevice,zhangjianye
36,300,341,45,336,56,Click,238,finger, mobileDevice,zhangjianye
36,300,41,45,48,63,Click,305,finger, mobileDevice,zhangjianye
36,300,341,45,327,63,Click,264,finger, mobileDevice,zhangjianye
36,300,41,45,56,52,Click,304,finger, mobileDevice,zhangjianye
36,300,341,45,330,45,Click,265,finger, mobileDevice,zhangjianye
36,300,41,45,48,72,Click,306,finger, mobileDevice,zhangjianye
36,300,341,45,315,61,Click,237,finger, mobileDevice,zhangjianye
36,300,41,45,56,84,Click,331,finger, mobileDevice,zhangjianye
36,100,241,45,132,62,Click,360,finger, mobileDevice,zhangjianye
36,100,141,45,236,54,Click,585,finger, mobileDevice,zhangjianye
36,100,241,45,139,59,Click,1228,finger, mobileDevice,zhangjianye
36,100,141,45,237,51,Click,611,finger, mobileDevice,zhangjianye
36,100,241,45,245,59,Click,713,finger, mobileDevice,zhangjianye
36,100,141,45,143,62,Click,517,finger, mobileDevice,zhangjianye
36,100,241,45,246,47,Click,291,finger, mobileDevice,zhangjianye
36,100,141,45,146,67,Click,425,finger, mobileDevice,zhangjianye
36,100,241,45,242,59,Click,225,finger, mobileDevice,zhangjianye
36,100,141,45,151,63,Click,252,finger, mobileDevice,zhangjianye
36,100,241,45,250,62,Click,211,finger, mobileDevice,zhangjianye
36,100,141,45,143,61,Click,305,finger, mobileDevice,zhangjianye
36,100,241,45,244,43,Click,239,finger, mobileDevice,zhangjianye
36,100,141,45,146,54,Click,251,finger, mobileDevice,zhangjianye
36,100,241,45,227,57,Click,252,finger, mobileDevice,zhangjianye
36,100,141,45,146,56,Click,250,finger, mobileDevice,zhangjianye
36,100,241,45,243,54,Click,252,finger, mobileDevice,zhangjianye
36,100,141,45,144,56,Click,400,finger, mobileDevice,zhangjianye
24,200,291,45,286,52,Click,252,finger, mobileDevice,zhangjianye
24,200,91,45,113,55,Click,466,finger, mobileDevice,zhangjianye
24,200,291,45,292,48,Click,211,finger, mobileDevice,zhangjianye
24,200,91,45,100,67,Click,481,finger, mobileDevice,zhangjianye
24,200,291,45,303,50,Click,236,finger, mobileDevice,zhangjianye
24,200,91,45,95,67,Click,388,finger, mobileDevice,zhangjianye
24,200,291,45,296,61,Click,250,finger, mobileDevice,zhangjianye
24,200,91,45,103,65,Click,360,finger, mobileDevice,zhangjianye
24,200,291,45,280,51,Click,237,finger, mobileDevice,zhangjianye
24,200,91,45,88,66,Click,359,finger, mobileDevice,zhangjianye
24,200,291,45,298,63,Click,226,finger, mobileDevice,zhangjianye
24,200,91,45,90,65,Click,359,finger, mobileDevice,zhangjianye
24,200,291,45,293,57,Click,252,finger, mobileDevice,zhangjianye
24,200,91,45,106,65,Click,264,finger, mobileDevice,zhangjianye
24,200,291,45,292,61,Click,265,finger, mobileDevice,zhangjianye
24,200,91,45,98,63,Click,318,finger, mobileDevice,zhangjianye
24,200,291,45,281,53,Click,238,finger, mobileDevice,zhangjianye
24,200,91,45,100,67,Click,277,finger, mobileDevice,zhangjianye
12,100,241,45,146,55,Click,410,finger, mobileDevice,zhangjianye
12,100,141,45,244,47,Click,213,finger, mobileDevice,zhangjianye
12,100,241,45,150,57,Click,278,finger, mobileDevice,zhangjianye
12,100,141,45,244,61,Click,185,finger, mobileDevice,zhangjianye
12,100,241,45,142,64,Click,251,finger, mobileDevice,zhangjianye
12,100,141,45,236,57,Click,185,finger, mobileDevice,zhangjianye
12,100,241,45,141,58,Click,225,finger, mobileDevice,zhangjianye
12,100,141,45,232,55,Click,200,finger, mobileDevice,zhangjianye
12,100,241,45,141,57,Click,277,finger, mobileDevice,zhangjianye
12,100,141,45,230,59,Click,212,finger, mobileDevice,zhangjianye
12,100,241,45,148,55,Click,224,finger, mobileDevice,zhangjianye
12,100,141,45,233,60,Click,199,finger, mobileDevice,zhangjianye
12,100,241,45,139,63,Click,265,finger, mobileDevice,zhangjianye
12,100,141,45,230,60,Click,204,finger, mobileDevice,zhangjianye
12,100,241,45,138,61,Click,272,finger, mobileDevice,zhangjianye
12,100,141,45,236,56,Click,213,finger, mobileDevice,zhangjianye
12,100,241,45,147,63,Click,493,finger, mobileDevice,zhangjianye
12,100,141,45,149,54,Click,880,finger, mobileDevice,zhangjianye
36,200,291,45,103,60,Click,767,finger, mobileDevice,zhangjianye
36,200,91,45,105,59,Click,794,finger, mobileDevice,zhangjianye
36,200,291,45,281,56,Click,227,finger, mobileDevice,zhangjianye
36,200,91,45,106,59,Click,374,finger, mobileDevice,zhangjianye
36,200,291,45,278,43,Click,225,finger, mobileDevice,zhangjianye
36,200,91,45,110,47,Click,282,finger, mobileDevice,zhangjianye
36,200,291,45,289,55,Click,219,finger, mobileDevice,zhangjianye
36,200,91,45,84,68,Click,359,finger, mobileDevice,zhangjianye
36,200,291,45,275,74,Click,304,finger, mobileDevice,zhangjianye
36,200,91,45,106,60,Click,335,finger, mobileDevice,zhangjianye
36,200,291,45,280,55,Click,289,finger, mobileDevice,zhangjianye
36,200,91,45,110,51,Click,679,finger, mobileDevice,zhangjianye
36,200,291,45,268,47,Click,249,finger, mobileDevice,zhangjianye
36,200,91,45,96,50,Click,332,finger, mobileDevice,zhangjianye
36,200,291,45,264,50,Click,265,finger, mobileDevice,zhangjianye
36,200,91,45,109,55,Click,305,finger, mobileDevice,zhangjianye
36,200,291,45,260,54,Click,443,finger, mobileDevice,zhangjianye
36,200,91,45,107,57,Click,1565,finger, mobileDevice,zhangjianye
24,300,341,45,331,52,Click,278,finger, mobileDevice,zhangjianye
24,300,41,45,50,62,Click,492,finger, mobileDevice,zhangjianye
24,300,341,45,332,48,Click,241,finger, mobileDevice,zhangjianye
24,300,41,45,49,63,Click,475,finger, mobileDevice,zhangjianye
24,300,341,45,325,57,Click,320,finger, mobileDevice,zhangjianye
24,300,41,45,43,59,Click,412,finger, mobileDevice,zhangjianye
24,300,341,45,326,59,Click,263,finger, mobileDevice,zhangjianye
