w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
36,200,291,94,325,101,Click,263,finger, mobileDevice,zhangzheng
36,200,91,94,79,94,Click,508,finger, mobileDevice,zhangzheng
36,200,291,94,301,106,Click,302,finger, mobileDevice,zhangzheng
36,200,91,94,79,98,Click,360,finger, mobileDevice,zhangzheng
36,200,291,94,291,102,Click,239,finger, mobileDevice,zhangzheng
36,200,91,94,85,98,Click,318,finger, mobileDevice,zhangzheng
36,200,291,94,281,101,Click,278,finger, mobileDevice,zhangzheng
36,200,91,94,80,114,Click,279,finger, mobileDevice,zhangzheng
36,200,291,94,288,102,Click,264,finger, mobileDevice,zhangzheng
36,200,91,94,84,100,Click,305,finger, mobileDevice,zhangzheng
36,200,291,94,282,105,Click,264,finger, mobileDevice,zhangzheng
36,200,91,94,91,102,Click,280,finger, mobileDevice,zhangzheng
36,200,291,94,274,105,Click,250,finger, mobileDevice,zhangzheng
36,200,91,94,83,101,Click,279,finger, mobileDevice,zhangzheng
36,200,291,94,275,91,Click,238,finger, mobileDevice,zhangzheng
36,200,91,94,81,105,Click,292,finger, mobileDevice,zhangzheng
36,200,291,94,275,99,Click,238,finger, mobileDevice,zhangzheng
36,200,91,94,89,100,Click,266,finger, mobileDevice,zhangzheng
12,200,291,94,285,92,Click,558,finger, mobileDevice,zhangzheng
12,200,91,94,84,87,Click,453,finger, mobileDevice,zhangzheng
12,200,291,94,284,93,Click,518,finger, mobileDevice,zhangzheng
12,200,91,94,86,91,Click,480,finger, mobileDevice,zhangzheng
12,200,291,94,280,96,Click,439,finger, mobileDevice,zhangzheng
12,200,91,94,80,92,Click,400,finger, mobileDevice,zhangzheng
12,200,291,94,293,92,Click,439,finger, mobileDevice,zhangzheng
12,200,91,94,79,95,Click,453,finger, mobileDevice,zhangzheng
12,200,291,94,290,90,Click,466,finger, mobileDevice,zhangzheng
12,200,91,94,97,99,Click,466,finger, mobileDevice,zhangzheng
12,200,291,94,299,99,Click,388,finger, mobileDevice,zhangzheng
12,200,91,94,83,95,Click,477,finger, mobileDevice,zhangzheng
12,200,291,94,293,92,Click,399,finger, mobileDevice,zhangzheng
12,200,91,94,87,91,Click,427,finger, mobileDevice,zhangzheng
12,200,291,94,293,95,Click,412,finger, mobileDevice,zhangzheng
12,200,91,94,91,100,Click,401,finger, mobileDevice,zhangzheng
12,200,291,94,292,92,Click,398,finger, mobileDevice,zhangzheng
12,200,91,94,83,97,Click,400,finger, mobileDevice,zhangzheng
24,100,241,94,245,97,Click,278,finger, mobileDevice,zhangzheng
24,100,141,94,131,99,Click,265,finger, mobileDevice,zhangzheng
24,100,241,94,239,98,Click,214,finger, mobileDevice,zhangzheng
24,100,141,94,135,96,Click,223,finger, mobileDevice,zhangzheng
24,100,241,94,243,97,Click,226,finger, mobileDevice,zhangzheng
24,100,141,94,136,98,Click,224,finger, mobileDevice,zhangzheng
24,100,241,94,241,98,Click,212,finger, mobileDevice,zhangzheng
24,100,141,94,133,98,Click,239,finger, mobileDevice,zhangzheng
24,100,241,94,239,95,Click,224,finger, mobileDevice,zhangzheng
24,100,141,94,137,94,Click,227,finger, mobileDevice,zhangzheng
24,100,241,94,243,95,Click,211,finger, mobileDevice,zhangzheng
24,100,141,94,138,93,Click,238,finger, mobileDevice,zhangzheng
24,100,241,94,244,94,Click,225,finger, mobileDevice,zhangzheng
24,100,141,94,137,94,Click,226,finger, mobileDevice,zhangzheng
24,100,241,94,240,96,Click,212,finger, mobileDevice,zhangzheng
24,100,141,94,132,96,Click,237,finger, mobileDevice,zhangzheng
24,100,241,94,238,97,Click,213,finger, mobileDevice,zhangzheng
24,100,141,94,145,96,Click,199,finger, mobileDevice,zhangzheng
12,300,341,94,343,99,Click,556,finger, mobileDevice,zhangzheng
12,300,41,94,40,79,Click,505,finger, mobileDevice,zhangzheng
12,300,341,94,345,102,Click,519,finger, mobileDevice,zhangzheng
12,300,41,94,27,92,Click,545,finger, mobileDevice,zhangzheng
12,300,341,94,333,99,Click,532,finger, mobileDevice,zhangzheng
12,300,41,94,34,97,Click,492,finger, mobileDevice,zhangzheng
12,300,341,94,343,98,Click,559,finger, mobileDevice,zhangzheng
12,300,41,94,46,104,Click,452,finger, mobileDevice,zhangzheng
12,300,341,94,345,106,Click,506,finger, mobileDevice,zhangzheng
12,300,41,94,41,88,Click,532,finger, mobileDevice,zhangzheng
12,300,341,94,327,88,Click,506,finger, mobileDevice,zhangzheng
12,300,41,94,42,93,Click,531,finger, mobileDevice,zhangzheng
12,300,341,94,334,98,Click,466,finger, mobileDevice,zhangzheng
12,300,41,94,41,90,Click,492,finger, mobileDevice,zhangzheng
12,300,341,94,343,94,Click,479,finger, mobileDevice,zhangzheng
12,300,41,94,48,91,Click,454,finger, mobileDevice,zhangzheng
12,300,341,94,339,94,Click,451,finger, mobileDevice,zhangzheng
12,300,41,94,39,92,Click,480,finger, mobileDevice,zhangzheng
36,100,241,94,242,97,Click,211,finger, mobileDevice,zhangzheng
36,100,141,94,145,92,Click,225,finger, mobileDevice,zhangzheng
36,100,241,94,235,89,Click,173,finger, mobileDevice,zhangzheng
36,100,141,94,134,89,Click,212,finger, mobileDevice,zhangzheng
36,100,241,94,240,92,Click,185,finger, mobileDevice,zhangzheng
36,100,141,94,141,91,Click,199,finger, mobileDevice,zhangzheng
36,100,241,94,249,92,Click,198,finger, mobileDevice,zhangzheng
36,100,141,94,149,90,Click,201,finger, mobileDevice,zhangzheng
36,100,241,94,245,94,Click,197,finger, mobileDevice,zhangzheng
36,100,141,94,149,93,Click,199,finger, mobileDevice,zhangzheng
36,100,241,94,244,97,Click,184,finger, mobileDevice,zhangzheng
36,100,141,94,142,94,Click,213,finger, mobileDevice,zhangzheng
36,100,241,94,250,102,Click,185,finger, mobileDevice,zhangzheng
36,100,141,94,137,98,Click,202,finger, mobileDevice,zhangzheng
36,100,241,94,248,97,Click,195,finger, mobileDevice,zhangzheng
36,100,141,94,136,91,Click,198,finger, mobileDevice,zhangzheng
36,100,241,94,241,96,Click,200,finger, mobileDevice,zhangzheng
36,100,141,94,139,101,Click,172,finger, mobileDevice,zhangzheng
12,100,241,94,245,102,Click,224,finger, mobileDevice,zhangzheng
12,100,141,94,145,94,Click,239,finger, mobileDevice,zhangzheng
12,100,241,94,238,93,Click,211,finger, mobileDevice,zhangzheng
12,100,141,94,133,99,Click,213,finger, mobileDevice,zhangzheng
