w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,100,241,94,231,105,Click,197,finger, mobileDevice,chenchong
12,100,141,94,138,99,Click,200,finger, mobileDevice,chenchong
12,100,241,94,244,105,Click,198,finger, mobileDevice,chenchong
12,100,141,94,133,103,Click,203,finger, mobileDevice,chenchong
12,100,241,94,241,109,Click,194,finger, mobileDevice,chenchong
12,100,141,94,132,100,Click,186,finger, mobileDevice,chenchong
12,100,241,94,240,106,Click,172,finger, mobileDevice,chenchong
12,100,141,94,125,102,Click,199,finger, mobileDevice,chenchong
12,100,241,94,244,102,Click,199,finger, mobileDevice,chenchong
12,100,141,94,134,99,Click,185,finger, mobileDevice,chenchong
12,100,241,94,245,106,Click,186,finger, mobileDevice,chenchong
12,100,141,94,137,95,Click,199,finger, mobileDevice,chenchong
12,100,241,94,251,96,Click,185,finger, mobileDevice,chenchong
12,100,141,94,138,95,Click,202,finger, mobileDevice,chenchong
12,100,241,94,245,96,Click,181,finger, mobileDevice,chenchong
12,100,141,94,139,98,Click,201,finger, mobileDevice,chenchong
12,100,241,94,242,98,Click,184,finger, mobileDevice,chenchong
12,100,141,94,134,99,Click,193,finger, mobileDevice,chenchong
24,200,291,94,275,106,Click,279,finger, mobileDevice,chenchong
24,200,91,94,86,89,Click,456,finger, mobileDevice,chenchong
24,200,291,94,300,111,Click,290,finger, mobileDevice,chenchong
24,200,91,94,97,100,Click,276,finger, mobileDevice,chenchong
24,200,291,94,306,106,Click,252,finger, mobileDevice,chenchong
24,200,91,94,103,109,Click,238,finger, mobileDevice,chenchong
24,200,291,94,300,105,Click,239,finger, mobileDevice,chenchong
24,200,91,94,108,107,Click,237,finger, mobileDevice,chenchong
24,200,291,94,304,97,Click,245,finger, mobileDevice,chenchong
24,200,91,94,103,92,Click,260,finger, mobileDevice,chenchong
24,200,291,94,305,98,Click,225,finger, mobileDevice,chenchong
24,200,91,94,90,99,Click,251,finger, mobileDevice,chenchong
24,200,291,94,308,99,Click,252,finger, mobileDevice,chenchong
24,200,91,94,91,101,Click,265,finger, mobileDevice,chenchong
24,200,291,94,283,102,Click,239,finger, mobileDevice,chenchong
24,200,91,94,87,100,Click,252,finger, mobileDevice,chenchong
24,200,291,94,292,92,Click,224,finger, mobileDevice,chenchong
24,200,91,94,100,96,Click,267,finger, mobileDevice,chenchong
24,300,341,94,346,85,Click,320,finger, mobileDevice,chenchong
