w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,100,241,94,249,101,Click,172,finger, mobileDevice,laihangguang
24,100,141,94,144,97,Click,185,finger, mobileDevice,laihangguang
24,100,241,94,249,102,Click,198,finger, mobileDevice,laihangguang
24,100,141,94,141,98,Click,172,finger, mobileDevice,laihangguang
24,100,241,94,247,103,Click,185,finger, mobileDevice,laihangguang
24,100,141,94,134,98,Click,186,finger, mobileDevice,laihangguang
24,100,241,94,248,97,Click,185,finger, mobileDevice,laihangguang
24,100,141,94,133,92,Click,186,finger, mobileDevice,laihangguang
24,100,241,94,252,97,Click,187,finger, mobileDevice,laihangguang
24,100,141,94,139,89,Click,185,finger, mobileDevice,laihangguang
24,100,241,94,249,96,Click,185,finger, mobileDevice,laihangguang
24,100,141,94,137,92,Click,186,finger, mobileDevice,laihangguang
24,100,241,94,249,99,Click,185,finger, mobileDevice,laihangguang
24,100,141,94,138,93,Click,198,finger, mobileDevice,laihangguang
24,100,241,94,251,96,Click,186,finger, mobileDevice,laihangguang
24,100,141,94,135,91,Click,186,finger, mobileDevice,laihangguang
24,100,241,94,245,103,Click,199,finger, mobileDevice,laihangguang
24,100,141,94,142,93,Click,171,finger, mobileDevice,laihangguang
36,200,291,94,298,104,Click,252,finger, mobileDevice,laihangguang
36,200,91,94,92,101,Click,238,finger, mobileDevice,laihangguang
36,200,291,94,294,98,Click,198,finger, mobileDevice,laihangguang
36,200,91,94,77,89,Click,226,finger, mobileDevice,laihangguang
36,200,291,94,280,96,Click,213,finger, mobileDevice,laihangguang
36,200,91,94,103,90,Click,198,finger, mobileDevice,laihangguang
36,200,291,94,304,95,Click,211,finger, mobileDevice,laihangguang
36,200,91,94,85,94,Click,227,finger, mobileDevice,laihangguang
36,200,291,94,300,93,Click,184,finger, mobileDevice,laihangguang
36,200,91,94,94,90,Click,253,finger, mobileDevice,laihangguang
36,200,291,94,310,91,Click,225,finger, mobileDevice,laihangguang
36,200,91,94,91,102,Click,211,finger, mobileDevice,laihangguang
36,200,291,94,296,106,Click,213,finger, mobileDevice,laihangguang
36,200,91,94,89,99,Click,239,finger, mobileDevice,laihangguang
36,200,291,94,299,92,Click,198,finger, mobileDevice,laihangguang
