w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,300,341,94,333,95,Click,359,finger, mobileDevice,liufeng
12,300,41,94,42,95,Click,372,finger, mobileDevice,liufeng
12,300,341,94,345,103,Click,334,finger, mobileDevice,liufeng
12,300,41,94,37,96,Click,332,finger, mobileDevice,liufeng
12,300,341,94,343,104,Click,332,finger, mobileDevice,liufeng
12,300,41,94,31,99,Click,318,finger, mobileDevice,liufeng
12,300,341,94,345,99,Click,318,finger, mobileDevice,liufeng
12,300,41,94,51,91,Click,377,finger, mobileDevice,liufeng
12,300,341,94,342,102,Click,383,finger, mobileDevice,liufeng
12,300,41,94,32,99,Click,361,finger, mobileDevice,liufeng
12,300,341,94,342,102,Click,346,finger, mobileDevice,liufeng
12,300,41,94,38,100,Click,361,finger, mobileDevice,liufeng
12,300,341,94,359,104,Click,360,finger, mobileDevice,liufeng
12,300,41,94,50,93,Click,347,finger, mobileDevice,liufeng
12,300,341,94,358,104,Click,346,finger, mobileDevice,liufeng
12,300,41,94,38,102,Click,374,finger, mobileDevice,liufeng
12,300,341,94,347,100,Click,360,finger, mobileDevice,liufeng
12,300,41,94,35,105,Click,374,finger, mobileDevice,liufeng
36,300,341,94,347,96,Click,265,finger, mobileDevice,liufeng
36,300,41,94,43,99,Click,331,finger, mobileDevice,liufeng
36,300,341,94,350,97,Click,293,finger, mobileDevice,liufeng
36,300,41,94,44,97,Click,305,finger, mobileDevice,liufeng
36,300,341,94,342,100,Click,291,finger, mobileDevice,liufeng
36,300,41,94,32,103,Click,319,finger, mobileDevice,liufeng
36,300,341,94,348,96,Click,290,finger, mobileDevice,liufeng
36,300,41,94,34,103,Click,333,finger, mobileDevice,liufeng
36,300,341,94,351,105,Click,278,finger, mobileDevice,liufeng
36,300,41,94,49,93,Click,333,finger, mobileDevice,liufeng
36,300,341,94,365,98,Click,292,finger, mobileDevice,liufeng
36,300,41,94,46,99,Click,330,finger, mobileDevice,liufeng
36,300,341,94,343,98,Click,291,finger, mobileDevice,liufeng
36,300,41,94,43,90,Click,361,finger, mobileDevice,liufeng
36,300,341,94,339,104,Click,291,finger, mobileDevice,liufeng
