w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
36,300,341,94,334,88,Click,284,finger, mobileDevice,liuzf
36,300,41,94,26,96,Click,318,finger, mobileDevice,liuzf
36,300,341,94,331,99,Click,293,finger, mobileDevice,liuzf
36,300,41,94,32,103,Click,306,finger, mobileDevice,liuzf
36,300,341,94,346,100,Click,264,finger, mobileDevice,liuzf
36,300,41,94,32,101,Click,306,finger, mobileDevice,liuzf
36,300,341,94,331,104,Click,278,finger, mobileDevice,liuzf
36,300,41,94,25,94,Click,306,finger, mobileDevice,liuzf
36,300,341,94,344,93,Click,265,finger, mobileDevice,liuzf
36,300,41,94,47,94,Click,279,finger, mobileDevice,liuzf
36,300,341,94,342,90,Click,265,finger, mobileDevice,liuzf
36,300,41,94,26,101,Click,292,finger, mobileDevice,liuzf
36,300,341,94,343,98,Click,264,finger, mobileDevice,liuzf
36,300,41,94,28,97,Click,267,finger, mobileDevice,liuzf
36,300,341,94,338,83,Click,264,finger, mobileDevice,liuzf
36,300,41,94,47,97,Click,293,finger, mobileDevice,liuzf
36,300,341,94,341,96,Click,278,finger, mobileDevice,liuzf
36,300,41,94,31,100,Click,279,finger, mobileDevice,liuzf
36,200,291,94,283,98,Click,225,finger, mobileDevice,liuzf
36,200,91,94,97,110,Click,266,finger, mobileDevice,liuzf
36,200,291,94,302,109,Click,225,finger, mobileDevice,liuzf
36,200,91,94,100,107,Click,239,finger, mobileDevice,liuzf
36,200,291,94,304,104,Click,212,finger, mobileDevice,liuzf
36,200,91,94,77,109,Click,239,finger, mobileDevice,liuzf
36,200,291,94,301,99,Click,226,finger, mobileDevice,liuzf
36,200,91,94,86,89,Click,239,finger, mobileDevice,liuzf
36,200,291,94,299,102,Click,225,finger, mobileDevice,liuzf
36,200,91,94,89,105,Click,240,finger, mobileDevice,liuzf
36,200,291,94,298,103,Click,224,finger, mobileDevice,liuzf
36,200,91,94,92,98,Click,239,finger, mobileDevice,liuzf
36,200,291,94,301,104,Click,226,finger, mobileDevice,liuzf
36,200,91,94,107,99,Click,226,finger, mobileDevice,liuzf
