w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,300,341,94,339,101,Click,398,finger, mobileDevice,zhangjianye
12,300,41,94,28,96,Click,363,finger, mobileDevice,zhangjianye
12,300,341,94,350,109,Click,329,finger, mobileDevice,zhangjianye
12,300,41,94,40,96,Click,371,finger, mobileDevice,zhangjianye
12,300,341,94,349,104,Click,293,finger, mobileDevice,zhangjianye
12,300,41,94,36,101,Click,334,finger, mobileDevice,zhangjianye
12,300,341,94,342,103,Click,274,finger, mobileDevice,zhangjianye
12,300,41,94,38,95,Click,330,finger, mobileDevice,zhangjianye
12,300,341,94,345,93,Click,292,finger, mobileDevice,zhangjianye
12,300,41,94,30,88,Click,343,finger, mobileDevice,zhangjianye
12,300,341,94,332,97,Click,294,finger, mobileDevice,zhangjianye
12,300,41,94,31,101,Click,304,finger, mobileDevice,zhangjianye
12,300,341,94,333,106,Click,265,finger, mobileDevice,zhangjianye
12,300,41,94,43,99,Click,291,finger, mobileDevice,zhangjianye
12,300,341,94,359,98,Click,291,finger, mobileDevice,zhangjianye
12,300,41,94,46,92,Click,332,finger, mobileDevice,zhangjianye
12,300,341,94,338,93,Click,304,finger, mobileDevice,zhangjianye
12,300,41,94,24,101,Click,276,finger, mobileDevice,zhangjianye
24,100,241,94,245,97,Click,172,finger, mobileDevice,zhangjianye
24,100,141,94,140,99,Click,199,finger, mobileDevice,zhangjianye
24,100,241,94,255,96,Click,172,finger, mobileDevice,zhangjianye
24,100,141,94,142,99,Click,185,finger, mobileDevice,zhangjianye
24,100,241,94,253,104,Click,174,finger, mobileDevice,zhangjianye
24,100,141,94,137,101,Click,184,finger, mobileDevice,zhangjianye
24,100,241,94,253,99,Click,172,finger, mobileDevice,zhangjianye
24,100,141,94,142,96,Click,172,finger, mobileDevice,zhangjianye
24,100,241,94,252,93,Click,186,finger, mobileDevice,zhangjianye
24,100,141,94,141,95,Click,185,finger, mobileDevice,zhangjianye
24,100,241,94,253,92,Click,172,finger, mobileDevice,zhangjianye
24,100,141,94,145,93,Click,204,finger, mobileDevice,zhangjianye
24,100,241,94,252,98,Click,167,finger, mobileDevice,zhangjianye
24,100,141,94,142,95,Click,185,finger, mobileDevice,zhangjianye
24,100,241,94,250,99,Click,199,finger, mobileDevice,zhangjianye
24,100,141,94,142,96,Click,172,finger, mobileDevice,zhangjianye
24,100,241,94,254,98,Click,212,finger, mobileDevice,zhangjianye
24,100,141,94,156,97,Click,172,finger, mobileDevice,zhangjianye
12,100,241,94,258,99,Click,214,finger, mobileDevice,zhangjianye
12,100,141,94,141,100,Click,196,finger, mobileDevice,zhangjianye
12,100,241,94,266,97,Click,211,finger, mobileDevice,zhangjianye
12,100,141,94,139,98,Click,225,finger, mobileDevice,zhangjianye
12,100,241,94,256,99,Click,200,finger, mobileDevice,zhangjianye
12,100,141,94,148,96,Click,198,finger, mobileDevice,zhangjianye
12,100,241,94,252,94,Click,212,finger, mobileDevice,zhangjianye
12,100,141,94,139,101,Click,211,finger, mobileDevice,zhangjianye
12,100,241,94,245,99,Click,199,finger, mobileDevice,zhangjianye
12,100,141,94,144,99,Click,185,finger, mobileDevice,zhangjianye
12,100,241,94,250,97,Click,213,finger, mobileDevice,zhangjianye
12,100,141,94,141,96,Click,185,finger, mobileDevice,zhangjianye
12,100,241,94,252,92,Click,225,finger, mobileDevice,zhangjianye
12,100,141,94,144,98,Click,172,finger, mobileDevice,zhangjianye
12,100,241,94,255,93,Click,202,finger, mobileDevice,zhangjianye
12,100,141,94,141,98,Click,182,finger, mobileDevice,zhangjianye
12,100,241,94,251,96,Click,206,finger, mobileDevice,zhangjianye
12,100,141,94,156,96,Click,166,finger, mobileDevice,zhangjianye
36,300,341,94,329,100,Click,278,finger, mobileDevice,zhangjianye
36,300,41,94,49,92,Click,317,finger, mobileDevice,zhangjianye
36,300,341,94,369,96,Click,318,finger, mobileDevice,zhangjianye
36,300,41,94,28,102,Click,361,finger, mobileDevice,zhangjianye
36,300,341,94,348,97,Click,290,finger, mobileDevice,zhangjianye
36,300,41,94,55,90,Click,318,finger, mobileDevice,zhangjianye
36,300,341,94,342,87,Click,334,finger, mobileDevice,zhangjianye
36,300,41,94,46,94,Click,329,finger, mobileDevice,zhangjianye
36,300,341,94,343,90,Click,280,finger, mobileDevice,zhangjianye
36,300,41,94,32,97,Click,374,finger, mobileDevice,zhangjianye
36,300,341,94,348,92,Click,274,finger, mobileDevice,zhangjianye
36,300,41,94,50,98,Click,332,finger, mobileDevice,zhangjianye
36,300,341,94,337,92,Click,277,finger, mobileDevice,zhangjianye
36,300,41,94,37,95,Click,318,finger, mobileDevice,zhangjianye
36,300,341,94,343,95,Click,278,finger, mobileDevice,zhangjianye
36,300,41,94,44,103,Click,304,finger, mobileDevice,zhangjianye
36,300,341,94,341,96,Click,265,finger, mobileDevice,zhangjianye
36,300,41,94,43,95,Click,306,finger, mobileDevice,zhangjianye
24,300,341,94,351,97,Click,292,finger, mobileDevice,zhangjianye
24,300,41,94,36,94,Click,304,finger, mobileDevice,zhangjianye
24,300,341,94,352,96,Click,277,finger, mobileDevice,zhangjianye
24,300,41,94,47,90,Click,320,finger, mobileDevice,zhangjianye
24,300,341,94,353,95,Click,291,finger, mobileDevice,zhangjianye
24,300,41,94,30,97,Click,319,finger, mobileDevice,zhangjianye
24,300,341,94,360,105,Click,291,finger, mobileDevice,zhangjianye
24,300,41,94,52,97,Click,331,finger, mobileDevice,zhangjianye
24,300,341,94,349,92,Click,280,finger, mobileDevice,zhangjianye
24,300,41,94,40,94,Click,333,finger, mobileDevice,zhangjianye
24,300,341,94,334,91,Click,260,finger, mobileDevice,zhangjianye
24,300,41,94,54,79,Click,345,finger, mobileDevice,zhangjianye
24,300,341,94,347,86,Click,344,finger, mobileDevice,zhangjianye
24,300,41,94,24,91,Click,361,finger, mobileDevice,zhangjianye
24,300,341,94,330,93,Click,263,finger, mobileDevice,zhangjianye
24,300,41,94,43,88,Click,402,finger, mobileDevice,zhangjianye
24,300,341,94,356,97,Click,319,finger, mobileDevice,zhangjianye
24,300,41,94,25,105,Click,315,finger, mobileDevice,zhangjianye
36,100,241,94,250,87,Click,184,finger, mobileDevice,zhangjianye
36,100,141,94,145,106,Click,173,finger, mobileDevice,zhangjianye
36,100,241,94,244,100,Click,158,finger, mobileDevice,zhangjianye
36,100,141,94,151,104,Click,172,finger, mobileDevice,zhangjianye
36,100,241,94,250,101,Click,172,finger, mobileDevice,zhangjianye
36,100,141,94,140,103,Click,173,finger, mobileDevice,zhangjianye
36,100,241,94,250,102,Click,172,finger, mobileDevice,zhangjianye
36,100,141,94,139,104,Click,185,finger, mobileDevice,zhangjianye
36,100,241,94,250,97,Click,159,finger, mobileDevice,zhangjianye
36,100,141,94,144,96,Click,186,finger, mobileDevice,zhangjianye
36,100,241,94,261,93,Click,171,finger, mobileDevice,zhangjianye
36,100,141,94,143,97,Click,186,finger, mobileDevice,zhangjianye
36,100,241,94,270,99,Click,172,finger, mobileDevice,zhangjianye
36,100,141,94,144,99,Click,185,finger, mobileDevice,zhangjianye
36,100,241,94,269,96,Click,186,finger, mobileDevice,zhangjianye
36,100,141,94,140,99,Click,172,finger, mobileDevice,zhangjianye
36,100,241,94,271,99,Click,212,finger, mobileDevice,zhangjianye
36,100,141,94,145,102,Click,159,finger, mobileDevice,zhangjianye
36,200,291,94,296,99,Click,291,finger, mobileDevice,zhangjianye
36,200,91,94,101,95,Click,266,finger, mobileDevice,zhangjianye
36,200,291,94,301,95,Click,251,finger, mobileDevice,zhangjianye
36,200,91,94,82,98,Click,265,finger, mobileDevice,zhangjianye
36,200,291,94,300,104,Click,251,finger, mobileDevice,zhangjianye
36,200,91,94,107,96,Click,265,finger, mobileDevice,zhangjianye
36,200,291,94,310,98,Click,251,finger, mobileDevice,zhangjianye
36,200,91,94,112,97,Click,251,finger, mobileDevice,zhangjianye
36,200,291,94,303,93,Click,239,finger, mobileDevice,zhangjianye
36,200,91,94,93,97,Click,266,finger, mobileDevice,zhangjianye
36,200,291,94,302,99,Click,224,finger, mobileDevice,zhangjianye
36,200,91,94,97,98,Click,265,finger, mobileDevice,zhangjianye
36,200,291,94,309,86,Click,226,finger, mobileDevice,zhangjianye
36,200,91,94,95,96,Click,263,finger, mobileDevice,zhangjianye
36,200,291,94,307,102,Click,225,finger, mobileDevice,zhangjianye
36,200,91,94,96,104,Click,279,finger, mobileDevice,zhangjianye
36,200,291,94,301,92,Click,212,finger, mobileDevice,zhangjianye
36,200,91,94,103,101,Click,239,finger, mobileDevice,zhangjianye
12,200,291,94,284,104,Click,292,finger, mobileDevice,zhangjianye
12,200,91,94,87,101,Click,331,finger, mobileDevice,zhangjianye
12,200,291,94,297,103,Click,252,finger, mobileDevice,zhangjianye
12,200,91,94,85,98,Click,305,finger, mobileDevice,zhangjianye
12,200,291,94,303,92,Click,278,finger, mobileDevice,zhangjianye
12,200,91,94,95,87,Click,290,finger, mobileDevice,zhangjianye
12,200,291,94,294,97,Click,239,finger, mobileDevice,zhangjianye
12,200,91,94,85,96,Click,305,finger, mobileDevice,zhangjianye
12,200,291,94,302,95,Click,264,finger, mobileDevice,zhangjianye
12,200,91,94,92,94,Click,294,finger, mobileDevice,zhangjianye
12,200,291,94,299,91,Click,249,finger, mobileDevice,zhangjianye
12,200,91,94,95,101,Click,292,finger, mobileDevice,zhangjianye
12,200,291,94,304,103,Click,264,finger, mobileDevice,zhangjianye
12,200,91,94,88,102,Click,292,finger, mobileDevice,zhangjianye
12,200,291,94,297,107,Click,251,finger, mobileDevice,zhangjianye
12,200,91,94,87,97,Click,292,finger, mobileDevice,zhangjianye
12,200,291,94,289,91,Click,264,finger, mobileDevice,zhangjianye
12,200,91,94,99,92,Click,278,finger, mobileDevice,zhangjianye
24,200,291,94,282,95,Click,225,finger, mobileDevice,zhangjianye
24,200,91,94,97,102,Click,278,finger, mobileDevice,zhangjianye
24,200,291,94,290,103,Click,225,finger, mobileDevice,zhangjianye
24,200,91,94,114,101,Click,238,finger, mobileDevice,zhangjianye
24,200,291,94,299,102,Click,239,finger, mobileDevice,zhangjianye
24,200,91,94,87,93,Click,253,finger, mobileDevice,zhangjianye
24,200,291,94,300,102,Click,224,finger, mobileDevice,zhangjianye
24,200,91,94,99,97,Click,251,finger, mobileDevice,zhangjianye
24,200,291,94,301,97,Click,226,finger, mobileDevice,zhangjianye
24,200,91,94,88,100,Click,251,finger, mobileDevice,zhangjianye
24,200,291,94,291,97,Click,239,finger, mobileDevice,zhangjianye
24,200,91,94,116,98,Click,211,finger, mobileDevice,zhangjianye
24,200,291,94,300,106,Click,238,finger, mobileDevice,zhangjianye
24,200,91,94,104,101,Click,253,finger, mobileDevice,zhangjianye
24,200,291,94,295,94,Click,224,finger, mobileDevice,zhangjianye
24,200,91,94,123,96,Click,225,finger, mobileDevice,zhangjianye
24,200,291,94,284,95,Click,226,finger, mobileDevice,zhangjianye
24,200,91,94,107,94,Click,237,finger, mobileDevice,zhangjianye
