w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,100,732,158,733,157,Click,934,mouse,computer,chenchong
12,100,632,158,631,160,Click,800,mouse,computer,chenchong
12,100,732,158,738,159,Click,704,mouse,computer,chenchong
12,100,632,158,628,159,Click,696,mouse,computer,chenchong
12,100,732,158,736,160,Click,832,mouse,computer,chenchong
12,100,632,158,634,160,Click,792,mouse,computer,chenchong
12,100,732,158,731,161,Click,576,mouse,computer,chenchong
12,100,632,158,636,156,Click,840,mouse,computer,chenchong
12,100,732,158,736,158,Click,576,mouse,computer,chenchong
12,100,632,158,629,157,Click,912,mouse,computer,chenchong
12,100,732,158,733,158,Click,671,mouse,computer,chenchong
12,100,632,158,633,159,Click,680,mouse,computer,chenchong
12,100,732,158,734,156,Click,608,mouse,computer,chenchong
12,100,632,158,635,158,Click,848,mouse,computer,chenchong
12,100,732,158,731,158,Click,808,mouse,computer,chenchong
12,100,632,158,634,161,Click,985,mouse,computer,chenchong
12,100,732,158,735,160,Click,776,mouse,computer,chenchong
12,100,632,158,637,159,Click,864,mouse,computer,chenchong
12,300,832,158,835,157,Click,1104,mouse,computer,chenchong
12,300,532,158,536,155,Click,1072,mouse,computer,chenchong
12,300,832,158,836,156,Click,919,mouse,computer,chenchong
12,300,532,158,536,161,Click,969,mouse,computer,chenchong
12,300,832,158,832,158,Click,976,mouse,computer,chenchong
12,300,532,158,534,157,Click,768,mouse,computer,chenchong
12,300,832,158,832,159,Click,863,mouse,computer,chenchong
12,300,532,158,534,159,Click,792,mouse,computer,chenchong
12,300,832,158,828,157,Click,880,mouse,computer,chenchong
12,300,532,158,533,161,Click,841,mouse,computer,chenchong
12,300,832,158,836,157,Click,767,mouse,computer,chenchong
12,300,532,158,538,158,Click,896,mouse,computer,chenchong
12,300,832,158,831,158,Click,968,mouse,computer,chenchong
12,300,532,158,534,158,Click,808,mouse,computer,chenchong
12,300,832,158,834,162,Click,969,mouse,computer,chenchong
12,300,532,158,534,157,Click,840,mouse,computer,chenchong
12,300,832,158,836,160,Click,840,mouse,computer,chenchong
12,300,532,158,534,159,Click,927,mouse,computer,chenchong
24,200,782,158,780,161,Click,824,mouse,computer,chenchong
24,200,582,158,590,161,Click,856,mouse,computer,chenchong
