w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,200,782,158,785,159,Click,1021,mouse,computer,laihanguang
12,200,582,158,581,158,Click,872,mouse,computer,laihanguang
12,200,782,158,782,159,Click,792,mouse,computer,laihanguang
12,200,582,158,585,164,Click,1004,mouse,computer,laihanguang
12,200,782,158,783,156,Click,967,mouse,computer,laihanguang
12,200,582,158,586,156,Click,913,mouse,computer,laihanguang
12,200,782,158,784,160,Click,903,mouse,computer,laihanguang
12,200,582,158,584,157,Click,785,mouse,computer,laihanguang
12,200,782,158,786,163,Click,871,mouse,computer,laihanguang
12,200,582,158,585,161,Click,865,mouse,computer,laihanguang
12,200,782,158,781,155,Click,936,mouse,computer,laihanguang
12,200,582,158,587,159,Click,872,mouse,computer,laihanguang
12,200,782,158,787,162,Click,961,mouse,computer,laihanguang
12,200,582,158,579,160,Click,838,mouse,computer,laihanguang
12,200,782,158,785,160,Click,832,mouse,computer,laihanguang
12,200,582,158,585,160,Click,880,mouse,computer,laihanguang
12,200,782,158,785,156,Click,816,mouse,computer,laihanguang
12,200,582,158,582,158,Click,840,mouse,computer,laihanguang
24,300,832,158,838,165,Click,912,mouse,computer,laihanguang
24,300,532,158,538,153,Click,752,mouse,computer,laihanguang
24,300,832,158,828,160,Click,832,mouse,computer,laihanguang
24,300,532,158,537,155,Click,864,mouse,computer,laihanguang
24,300,832,158,841,157,Click,831,mouse,computer,laihanguang
24,300,532,158,544,156,Click,848,mouse,computer,laihanguang
24,300,832,158,820,156,Click,856,mouse,computer,laihanguang
24,300,532,158,537,161,Click,849,mouse,computer,laihanguang
24,300,832,158,827,159,Click,879,mouse,computer,laihanguang
24,300,532,158,540,162,Click,890,mouse,computer,laihanguang
24,300,832,158,837,155,Click,809,mouse,computer,laihanguang
24,300,532,158,530,154,Click,823,mouse,computer,laihanguang
24,300,832,158,833,154,Click,840,mouse,computer,laihanguang
24,300,532,158,539,160,Click,888,mouse,computer,laihanguang
24,300,832,158,831,163,Click,728,mouse,computer,laihanguang
24,300,532,158,542,154,Click,808,mouse,computer,laihanguang
24,300,832,158,826,157,Click,872,mouse,computer,laihanguang
24,300,532,158,535,164,Click,977,mouse,computer,laihanguang
24,200,782,158,780,163,Click,728,mouse,computer,laihanguang
24,200,582,158,592,162,Click,792,mouse,computer,laihanguang
24,200,782,158,776,157,Click,624,mouse,computer,laihanguang
24,200,582,158,588,159,Click,736,mouse,computer,laihanguang
24,200,782,158,781,165,Click,640,mouse,computer,laihanguang
24,200,582,158,589,164,Click,672,mouse,computer,laihanguang
24,200,782,158,795,157,Click,807,mouse,computer,laihanguang
24,200,582,158,591,159,Click,808,mouse,computer,laihanguang
24,200,782,158,784,158,Click,752,mouse,computer,laihanguang
24,200,582,158,589,165,Click,624,mouse,computer,laihanguang
24,200,782,158,779,160,Click,712,mouse,computer,laihanguang
24,200,582,158,586,152,Click,600,mouse,computer,laihanguang
24,200,782,158,782,163,Click,576,mouse,computer,laihanguang
24,200,582,158,590,160,Click,888,mouse,computer,laihanguang
24,200,782,158,790,165,Click,648,mouse,computer,laihanguang
24,200,582,158,589,158,Click,671,mouse,computer,laihanguang
24,200,782,158,777,154,Click,705,mouse,computer,laihanguang
24,200,582,158,582,163,Click,568,mouse,computer,laihanguang
12,300,832,158,832,159,Click,1119,mouse,computer,laihanguang
12,300,532,158,538,158,Click,1017,mouse,computer,laihanguang
12,300,832,158,835,160,Click,1071,mouse,computer,laihanguang
12,300,532,158,536,154,Click,840,mouse,computer,laihanguang
12,300,832,158,830,159,Click,903,mouse,computer,laihanguang
12,300,532,158,536,158,Click,1048,mouse,computer,laihanguang
12,300,832,158,830,161,Click,929,mouse,computer,laihanguang
12,300,532,158,536,159,Click,1175,mouse,computer,laihanguang
12,300,832,158,836,160,Click,1096,mouse,computer,laihanguang
12,300,532,158,536,162,Click,1242,mouse,computer,laihanguang
12,300,832,158,832,160,Click,1200,mouse,computer,laihanguang
12,300,532,158,534,160,Click,1342,mouse,computer,laihanguang
12,300,832,158,833,160,Click,920,mouse,computer,laihanguang
12,300,532,158,538,157,Click,1176,mouse,computer,laihanguang
12,300,832,158,833,156,Click,983,mouse,computer,laihanguang
12,300,532,158,538,157,Click,874,mouse,computer,laihanguang
