w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
36,300,832,158,832,152,Click,662,mouse,computer,liufeng
36,300,532,158,540,160,Click,624,mouse,computer,liufeng
36,300,832,158,841,165,Click,688,mouse,computer,liufeng
36,300,532,158,529,157,Click,728,mouse,computer,liufeng
36,300,832,158,830,154,Click,744,mouse,computer,liufeng
36,300,532,158,528,162,Click,832,mouse,computer,liufeng
36,300,832,158,835,163,Click,616,mouse,computer,liufeng
36,300,532,158,537,165,Click,648,mouse,computer,liufeng
36,300,832,158,836,163,Click,520,mouse,computer,liufeng
36,300,532,158,526,155,Click,776,mouse,computer,liufeng
36,300,832,158,831,158,Click,712,mouse,computer,liufeng
36,300,532,158,533,161,Click,688,mouse,computer,liufeng
36,300,832,158,840,163,Click,559,mouse,computer,liufeng
36,300,532,158,530,162,Click,705,mouse,computer,liufeng
36,300,832,158,837,163,Click,536,mouse,computer,liufeng
36,300,532,158,531,153,Click,607,mouse,computer,liufeng
36,300,832,158,829,154,Click,600,mouse,computer,liufeng
36,300,532,158,520,162,Click,456,mouse,computer,liufeng
12,200,782,158,781,156,Click,888,mouse,computer,liufeng
12,200,582,158,579,155,Click,776,mouse,computer,liufeng
12,200,782,158,787,160,Click,760,mouse,computer,liufeng
12,200,582,158,583,155,Click,792,mouse,computer,liufeng
12,200,782,158,784,158,Click,832,mouse,computer,liufeng
12,200,582,158,581,157,Click,824,mouse,computer,liufeng
12,200,782,158,783,159,Click,688,mouse,computer,liufeng
12,200,582,158,586,159,Click,600,mouse,computer,liufeng
12,200,782,158,788,159,Click,640,mouse,computer,liufeng
12,200,582,158,580,158,Click,715,mouse,computer,liufeng
12,200,782,158,784,158,Click,720,mouse,computer,liufeng
12,200,582,158,585,159,Click,840,mouse,computer,liufeng
12,200,782,158,782,160,Click,664,mouse,computer,liufeng
12,200,582,158,584,158,Click,792,mouse,computer,liufeng
12,200,782,158,791,158,Click,743,mouse,computer,liufeng
12,200,582,158,583,159,Click,920,mouse,computer,liufeng
12,200,782,158,785,158,Click,720,mouse,computer,liufeng
12,200,582,158,586,159,Click,792,mouse,computer,liufeng
12,100,732,158,735,162,Click,776,mouse,computer,liufeng
12,100,632,158,632,159,Click,744,mouse,computer,liufeng
12,100,732,158,735,156,Click,760,mouse,computer,liufeng
12,100,632,158,632,159,Click,592,mouse,computer,liufeng
12,100,732,158,735,160,Click,752,mouse,computer,liufeng
12,100,632,158,636,159,Click,544,mouse,computer,liufeng
12,100,732,158,735,160,Click,768,mouse,computer,liufeng
12,100,632,158,629,159,Click,512,mouse,computer,liufeng
12,100,732,158,732,159,Click,696,mouse,computer,liufeng
12,100,632,158,637,158,Click,664,mouse,computer,liufeng
12,100,732,158,732,158,Click,624,mouse,computer,liufeng
12,100,632,158,633,157,Click,584,mouse,computer,liufeng
12,100,732,158,734,162,Click,600,mouse,computer,liufeng
12,100,632,158,626,160,Click,688,mouse,computer,liufeng
12,100,732,158,734,158,Click,616,mouse,computer,liufeng
12,100,632,158,630,158,Click,575,mouse,computer,liufeng
12,100,732,158,738,158,Click,449,mouse,computer,liufeng
12,100,632,158,634,158,Click,679,mouse,computer,liufeng
24,200,782,158,771,157,Click,664,mouse,computer,liufeng
24,200,582,158,591,160,Click,816,mouse,computer,liufeng
24,200,782,158,771,163,Click,730,mouse,computer,liufeng
24,200,582,158,578,161,Click,455,mouse,computer,liufeng
24,200,782,158,785,158,Click,600,mouse,computer,liufeng
24,200,582,158,589,161,Click,640,mouse,computer,liufeng
24,200,782,158,780,159,Click,600,mouse,computer,liufeng
24,200,582,158,589,159,Click,672,mouse,computer,liufeng
24,200,782,158,781,159,Click,793,mouse,computer,liufeng
24,200,582,158,580,161,Click,480,mouse,computer,liufeng
24,200,782,158,786,161,Click,519,mouse,computer,liufeng
24,200,582,158,589,166,Click,537,mouse,computer,liufeng
24,200,782,158,775,163,Click,703,mouse,computer,liufeng
24,200,582,158,587,161,Click,689,mouse,computer,liufeng
24,200,782,158,789,159,Click,551,mouse,computer,liufeng
24,200,582,158,582,159,Click,776,mouse,computer,liufeng
24,200,782,158,778,162,Click,745,mouse,computer,liufeng
24,200,582,158,579,161,Click,687,mouse,computer,liufeng
24,100,732,158,727,162,Click,496,mouse,computer,liufeng
24,100,632,158,637,163,Click,552,mouse,computer,liufeng
24,100,732,158,738,162,Click,504,mouse,computer,liufeng
24,100,632,158,638,161,Click,512,mouse,computer,liufeng
24,100,732,158,730,164,Click,496,mouse,computer,liufeng
24,100,632,158,621,160,Click,425,mouse,computer,liufeng
24,100,732,158,732,159,Click,527,mouse,computer,liufeng
24,100,632,158,627,158,Click,440,mouse,computer,liufeng
24,100,732,158,742,160,Click,424,mouse,computer,liufeng
24,100,632,158,627,160,Click,657,mouse,computer,liufeng
24,100,732,158,722,161,Click,666,mouse,computer,liufeng
24,100,632,158,637,161,Click,438,mouse,computer,liufeng
24,100,732,158,726,161,Click,423,mouse,computer,liufeng
24,100,632,158,630,162,Click,401,mouse,computer,liufeng
24,100,732,158,727,162,Click,384,mouse,computer,liufeng
24,100,632,158,630,164,Click,433,mouse,computer,liufeng
24,100,732,158,726,163,Click,647,mouse,computer,liufeng
24,100,632,158,641,160,Click,577,mouse,computer,liufeng
12,300,832,158,833,158,Click,880,mouse,computer,liufeng
12,300,532,158,536,161,Click,776,mouse,computer,liufeng
12,300,832,158,830,161,Click,992,mouse,computer,liufeng
12,300,532,158,536,158,Click,844,mouse,computer,liufeng
12,300,832,158,829,156,Click,796,mouse,computer,liufeng
