w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,200,782,158,777,155,Click,708,mouse,computer,liuzf
24,200,582,158,576,160,Click,671,mouse,computer,liuzf
24,200,782,158,779,159,Click,689,mouse,computer,liuzf
24,200,582,158,590,158,Click,584,mouse,computer,liuzf
24,200,782,158,798,160,Click,560,mouse,computer,liuzf
24,200,582,158,587,159,Click,760,mouse,computer,liuzf
24,200,782,158,788,159,Click,751,mouse,computer,liuzf
24,200,582,158,589,163,Click,569,mouse,computer,liuzf
24,200,782,158,784,157,Click,512,mouse,computer,liuzf
24,200,582,158,580,159,Click,744,mouse,computer,liuzf
24,200,782,158,790,160,Click,887,mouse,computer,liuzf
24,200,582,158,589,160,Click,680,mouse,computer,liuzf
24,200,782,158,790,162,Click,776,mouse,computer,liuzf
24,200,582,158,578,165,Click,630,mouse,computer,liuzf
24,200,782,158,778,156,Click,586,mouse,computer,liuzf
24,200,582,158,571,160,Click,600,mouse,computer,liuzf
24,200,782,158,789,158,Click,616,mouse,computer,liuzf
24,200,582,158,581,154,Click,528,mouse,computer,liuzf
24,100,732,158,738,159,Click,600,mouse,computer,liuzf
24,100,632,158,636,162,Click,423,mouse,computer,liuzf
24,100,732,158,738,164,Click,624,mouse,computer,liuzf
24,100,632,158,635,164,Click,549,mouse,computer,liuzf
24,100,732,158,737,159,Click,515,mouse,computer,liuzf
24,100,632,158,632,160,Click,591,mouse,computer,liuzf
24,100,732,158,737,160,Click,417,mouse,computer,liuzf
24,100,632,158,626,160,Click,401,mouse,computer,liuzf
24,100,732,158,730,160,Click,744,mouse,computer,liuzf
24,100,632,158,627,161,Click,440,mouse,computer,liuzf
24,100,732,158,750,160,Click,648,mouse,computer,liuzf
24,100,632,158,612,160,Click,649,mouse,computer,liuzf
24,100,732,158,738,160,Click,679,mouse,computer,liuzf
24,100,632,158,641,157,Click,664,mouse,computer,liuzf
24,100,732,158,734,157,Click,416,mouse,computer,liuzf
24,100,632,158,650,158,Click,448,mouse,computer,liuzf
24,100,732,158,734,159,Click,823,mouse,computer,liuzf
24,100,632,158,631,158,Click,504,mouse,computer,liuzf
24,300,832,158,821,160,Click,839,mouse,computer,liuzf
24,300,532,158,537,162,Click,704,mouse,computer,liuzf
24,300,832,158,834,160,Click,696,mouse,computer,liuzf
24,300,532,158,533,160,Click,664,mouse,computer,liuzf
24,300,832,158,814,155,Click,696,mouse,computer,liuzf
24,300,532,158,544,159,Click,786,mouse,computer,liuzf
24,300,832,158,825,161,Click,791,mouse,computer,liuzf
24,300,532,158,536,160,Click,745,mouse,computer,liuzf
24,300,832,158,837,162,Click,767,mouse,computer,liuzf
24,300,532,158,543,163,Click,903,mouse,computer,liuzf
24,300,832,158,833,162,Click,792,mouse,computer,liuzf
24,300,532,158,529,160,Click,552,mouse,computer,liuzf
24,300,832,158,830,160,Click,680,mouse,computer,liuzf
24,300,532,158,523,160,Click,513,mouse,computer,liuzf
24,300,832,158,830,158,Click,776,mouse,computer,liuzf
24,300,532,158,523,160,Click,664,mouse,computer,liuzf
24,300,832,158,839,159,Click,559,mouse,computer,liuzf
24,300,532,158,538,161,Click,961,mouse,computer,liuzf
12,100,732,158,727,158,Click,680,mouse,computer,liuzf
12,100,632,158,636,157,Click,716,mouse,computer,liuzf
12,100,732,158,737,157,Click,592,mouse,computer,liuzf
12,100,632,158,631,159,Click,479,mouse,computer,liuzf
12,100,732,158,734,159,Click,648,mouse,computer,liuzf
12,100,632,158,631,161,Click,489,mouse,computer,liuzf
12,100,732,158,733,161,Click,527,mouse,computer,liuzf
12,100,632,158,632,163,Click,537,mouse,computer,liuzf
12,100,732,158,727,162,Click,823,mouse,computer,liuzf
12,100,632,158,634,162,Click,616,mouse,computer,liuzf
12,100,732,158,734,159,Click,688,mouse,computer,liuzf
12,100,632,158,636,159,Click,728,mouse,computer,liuzf
12,100,732,158,729,159,Click,736,mouse,computer,liuzf
12,100,632,158,629,160,Click,928,mouse,computer,liuzf
12,100,732,158,732,161,Click,728,mouse,computer,liuzf
12,100,632,158,632,160,Click,664,mouse,computer,liuzf
12,100,732,158,736,159,Click,504,mouse,computer,liuzf
12,100,632,158,638,160,Click,680,mouse,computer,liuzf
36,200,782,158,780,153,Click,721,mouse,computer,liuzf
36,200,582,158,592,155,Click,544,mouse,computer,liuzf
