w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,300,832,158,836,158,Click,1460,mouse,computer,wangcong
24,300,532,158,536,157,Click,1056,mouse,computer,wangcong
24,300,832,158,834,154,Click,978,mouse,computer,wangcong
24,300,532,158,533,155,Click,880,mouse,computer,wangcong
24,300,832,158,835,160,Click,1223,mouse,computer,wangcong
24,300,532,158,536,156,Click,1352,mouse,computer,wangcong
24,300,832,158,834,157,Click,1056,mouse,computer,wangcong
24,300,532,158,531,160,Click,776,mouse,computer,wangcong
24,300,832,158,833,161,Click,872,mouse,computer,wangcong
24,300,532,158,534,160,Click,840,mouse,computer,wangcong
24,300,832,158,842,157,Click,760,mouse,computer,wangcong
24,300,532,158,532,167,Click,903,mouse,computer,wangcong
24,300,832,158,833,153,Click,906,mouse,computer,wangcong
24,300,532,158,528,151,Click,863,mouse,computer,wangcong
24,300,832,158,839,151,Click,863,mouse,computer,wangcong
24,300,532,158,527,158,Click,904,mouse,computer,wangcong
24,300,832,158,836,156,Click,872,mouse,computer,wangcong
24,300,532,158,532,153,Click,769,mouse,computer,wangcong
36,100,732,158,730,159,Click,759,mouse,computer,wangcong
36,100,632,158,629,157,Click,752,mouse,computer,wangcong
36,100,732,158,730,160,Click,528,mouse,computer,wangcong
36,100,632,158,642,157,Click,590,mouse,computer,wangcong
36,100,732,158,735,156,Click,498,mouse,computer,wangcong
36,100,632,158,626,155,Click,672,mouse,computer,wangcong
36,100,732,158,739,155,Click,664,mouse,computer,wangcong
36,100,632,158,641,157,Click,632,mouse,computer,wangcong
36,100,732,158,751,161,Click,496,mouse,computer,wangcong
36,100,632,158,637,160,Click,744,mouse,computer,wangcong
36,100,732,158,729,158,Click,479,mouse,computer,wangcong
36,100,632,158,626,156,Click,539,mouse,computer,wangcong
36,100,732,158,743,155,Click,582,mouse,computer,wangcong
36,100,632,158,630,160,Click,576,mouse,computer,wangcong
36,100,732,158,728,157,Click,695,mouse,computer,wangcong
36,100,632,158,630,163,Click,545,mouse,computer,wangcong
36,100,732,158,742,163,Click,647,mouse,computer,wangcong
36,100,632,158,639,159,Click,641,mouse,computer,wangcong
24,200,782,158,788,157,Click,919,mouse,computer,wangcong
24,200,582,158,583,159,Click,784,mouse,computer,wangcong
24,200,782,158,785,157,Click,760,mouse,computer,wangcong
24,200,582,158,576,158,Click,610,mouse,computer,wangcong
24,200,782,158,785,156,Click,743,mouse,computer,wangcong
24,200,582,158,589,158,Click,624,mouse,computer,wangcong
24,200,782,158,786,160,Click,656,mouse,computer,wangcong
24,200,582,158,583,160,Click,968,mouse,computer,wangcong
24,200,782,158,787,162,Click,728,mouse,computer,wangcong
24,200,582,158,583,162,Click,912,mouse,computer,wangcong
24,200,782,158,782,154,Click,712,mouse,computer,wangcong
24,200,582,158,583,155,Click,583,mouse,computer,wangcong
24,200,782,158,782,159,Click,752,mouse,computer,wangcong
24,200,582,158,589,160,Click,824,mouse,computer,wangcong
24,200,782,158,793,160,Click,729,mouse,computer,wangcong
24,200,582,158,579,158,Click,695,mouse,computer,wangcong
24,200,782,158,783,153,Click,649,mouse,computer,wangcong
24,200,582,158,575,155,Click,698,mouse,computer,wangcong
36,300,832,158,840,157,Click,904,mouse,computer,wangcong
36,300,532,158,534,157,Click,664,mouse,computer,wangcong
36,300,832,158,841,156,Click,672,mouse,computer,wangcong
36,300,532,158,525,160,Click,688,mouse,computer,wangcong
36,300,832,158,840,160,Click,744,mouse,computer,wangcong
36,300,532,158,542,153,Click,714,mouse,computer,wangcong
36,300,832,158,833,159,Click,679,mouse,computer,wangcong
36,300,532,158,536,158,Click,617,mouse,computer,wangcong
36,300,832,158,836,167,Click,823,mouse,computer,wangcong
36,300,532,158,544,160,Click,672,mouse,computer,wangcong
36,300,832,158,834,158,Click,648,mouse,computer,wangcong
36,300,532,158,524,157,Click,631,mouse,computer,wangcong
36,300,832,158,833,156,Click,705,mouse,computer,wangcong
36,300,532,158,527,154,Click,584,mouse,computer,wangcong
36,300,832,158,828,156,Click,631,mouse,computer,wangcong
36,300,532,158,528,156,Click,633,mouse,computer,wangcong
36,300,832,158,840,160,Click,704,mouse,computer,wangcong
36,300,532,158,542,157,Click,713,mouse,computer,wangcong
12,300,832,158,834,157,Click,1256,mouse,computer,wangcong
12,300,532,158,535,157,Click,1184,mouse,computer,wangcong
12,300,832,158,835,157,Click,1136,mouse,computer,wangcong
12,300,532,158,535,155,Click,1224,mouse,computer,wangcong
12,300,832,158,833,157,Click,960,mouse,computer,wangcong
12,300,532,158,534,157,Click,1112,mouse,computer,wangcong
12,300,832,158,834,160,Click,1520,mouse,computer,wangcong
12,300,532,158,533,156,Click,1065,mouse,computer,wangcong
12,300,832,158,833,156,Click,1168,mouse,computer,wangcong
12,300,532,158,533,157,Click,1338,mouse,computer,wangcong
12,300,832,158,834,158,Click,1717,mouse,computer,wangcong
12,300,532,158,533,157,Click,1792,mouse,computer,wangcong
12,300,832,158,835,159,Click,1192,mouse,computer,wangcong
12,300,532,158,535,159,Click,1520,mouse,computer,wangcong
12,300,832,158,836,160,Click,1192,mouse,computer,wangcong
12,300,532,158,534,161,Click,1048,mouse,computer,wangcong
12,300,832,158,834,161,Click,1152,mouse,computer,wangcong
12,300,532,158,536,159,Click,1120,mouse,computer,wangcong
24,100,732,158,741,161,Click,680,mouse,computer,wangcong
24,100,632,158,643,159,Click,728,mouse,computer,wangcong
24,100,732,158,730,160,Click,640,mouse,computer,wangcong
24,100,632,158,632,160,Click,575,mouse,computer,wangcong
24,100,732,158,732,157,Click,520,mouse,computer,wangcong
24,100,632,158,631,160,Click,608,mouse,computer,wangcong
24,100,732,158,745,156,Click,704,mouse,computer,wangcong
24,100,632,158,634,158,Click,712,mouse,computer,wangcong
24,100,732,158,734,159,Click,784,mouse,computer,wangcong
24,100,632,158,631,160,Click,562,mouse,computer,wangcong
24,100,732,158,742,158,Click,563,mouse,computer,wangcong
24,100,632,158,631,160,Click,556,mouse,computer,wangcong
24,100,732,158,732,157,Click,687,mouse,computer,wangcong
24,100,632,158,621,160,Click,936,mouse,computer,wangcong
24,100,732,158,734,157,Click,704,mouse,computer,wangcong
24,100,632,158,637,156,Click,904,mouse,computer,wangcong
24,100,732,158,731,156,Click,720,mouse,computer,wangcong
24,100,632,158,635,159,Click,568,mouse,computer,wangcong
36,200,782,158,778,153,Click,697,mouse,computer,wangcong
36,200,582,158,589,155,Click,615,mouse,computer,wangcong
36,200,782,158,786,160,Click,656,mouse,computer,wangcong
36,200,582,158,581,161,Click,705,mouse,computer,wangcong
36,200,782,158,779,157,Click,680,mouse,computer,wangcong
36,200,582,158,588,153,Click,808,mouse,computer,wangcong
36,200,782,158,793,158,Click,760,mouse,computer,wangcong
36,200,582,158,585,161,Click,832,mouse,computer,wangcong
