w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
36,300,832,158,830,155,Click,679,mouse,computer,wangxiaoyu
36,300,532,158,531,166,Click,762,mouse,computer,wangxiaoyu
36,300,832,158,844,165,Click,582,mouse,computer,wangxiaoyu
36,300,532,158,534,156,Click,642,mouse,computer,wangxiaoyu
36,300,832,158,816,162,Click,551,mouse,computer,wangxiaoyu
36,300,532,158,544,160,Click,559,mouse,computer,wangxiaoyu
36,300,832,158,835,168,Click,561,mouse,computer,wangxiaoyu
36,300,532,158,521,162,Click,652,mouse,computer,wangxiaoyu
36,300,832,158,817,157,Click,732,mouse,computer,wangxiaoyu
36,300,532,158,528,157,Click,503,mouse,computer,wangxiaoyu
36,300,832,158,831,161,Click,583,mouse,computer,wangxiaoyu
36,300,532,158,525,162,Click,522,mouse,computer,wangxiaoyu
36,300,832,158,814,165,Click,575,mouse,computer,wangxiaoyu
36,300,532,158,536,161,Click,728,mouse,computer,wangxiaoyu
36,300,832,158,851,160,Click,631,mouse,computer,wangxiaoyu
36,300,532,158,537,157,Click,649,mouse,computer,wangxiaoyu
36,300,832,158,844,155,Click,577,mouse,computer,wangxiaoyu
36,300,532,158,530,156,Click,514,mouse,computer,wangxiaoyu
12,200,782,158,781,158,Click,769,mouse,computer,wangxiaoyu
12,200,582,158,586,157,Click,959,mouse,computer,wangxiaoyu
12,200,782,158,782,158,Click,712,mouse,computer,wangxiaoyu
12,200,582,158,586,155,Click,832,mouse,computer,wangxiaoyu
12,200,782,158,791,157,Click,600,mouse,computer,wangxiaoyu
12,200,582,158,579,157,Click,649,mouse,computer,wangxiaoyu
12,200,782,158,784,162,Click,679,mouse,computer,wangxiaoyu
12,200,582,158,583,158,Click,648,mouse,computer,wangxiaoyu
12,200,782,158,782,160,Click,616,mouse,computer,wangxiaoyu
12,200,582,158,582,159,Click,664,mouse,computer,wangxiaoyu
12,200,782,158,778,159,Click,913,mouse,computer,wangxiaoyu
12,200,582,158,579,155,Click,595,mouse,computer,wangxiaoyu
12,200,782,158,782,155,Click,716,mouse,computer,wangxiaoyu
12,200,582,158,587,155,Click,759,mouse,computer,wangxiaoyu
12,200,782,158,780,157,Click,720,mouse,computer,wangxiaoyu
12,200,582,158,589,160,Click,641,mouse,computer,wangxiaoyu
12,200,782,158,777,160,Click,799,mouse,computer,wangxiaoyu
12,200,582,158,573,157,Click,576,mouse,computer,wangxiaoyu
24,200,782,158,782,165,Click,584,mouse,computer,wangxiaoyu
24,200,582,158,574,160,Click,561,mouse,computer,wangxiaoyu
24,200,782,158,780,164,Click,672,mouse,computer,wangxiaoyu
24,200,582,158,574,161,Click,473,mouse,computer,wangxiaoyu
24,200,782,158,785,159,Click,711,mouse,computer,wangxiaoyu
24,200,582,158,591,158,Click,649,mouse,computer,wangxiaoyu
24,200,782,158,790,166,Click,503,mouse,computer,wangxiaoyu
24,200,582,158,576,162,Click,576,mouse,computer,wangxiaoyu
24,200,782,158,772,164,Click,472,mouse,computer,wangxiaoyu
24,200,582,158,572,155,Click,473,mouse,computer,wangxiaoyu
24,200,782,158,784,158,Click,598,mouse,computer,wangxiaoyu
24,200,582,158,576,158,Click,513,mouse,computer,wangxiaoyu
24,200,782,158,769,158,Click,736,mouse,computer,wangxiaoyu
24,200,582,158,580,155,Click,712,mouse,computer,wangxiaoyu
24,200,782,158,790,158,Click,776,mouse,computer,wangxiaoyu
24,200,582,158,590,157,Click,543,mouse,computer,wangxiaoyu
24,200,782,158,793,158,Click,545,mouse,computer,wangxiaoyu
24,200,582,158,584,156,Click,632,mouse,computer,wangxiaoyu
24,300,832,158,829,154,Click,705,mouse,computer,wangxiaoyu
24,300,532,158,536,155,Click,647,mouse,computer,wangxiaoyu
24,300,832,158,821,157,Click,584,mouse,computer,wangxiaoyu
24,300,532,158,535,150,Click,617,mouse,computer,wangxiaoyu
24,300,832,158,836,156,Click,639,mouse,computer,wangxiaoyu
24,300,532,158,536,154,Click,576,mouse,computer,wangxiaoyu
24,300,832,158,825,159,Click,728,mouse,computer,wangxiaoyu
24,300,532,158,528,153,Click,705,mouse,computer,wangxiaoyu
24,300,832,158,831,158,Click,792,mouse,computer,wangxiaoyu
24,300,532,158,536,157,Click,568,mouse,computer,wangxiaoyu
24,300,832,158,844,161,Click,512,mouse,computer,wangxiaoyu
24,300,532,158,522,160,Click,635,mouse,computer,wangxiaoyu
24,300,832,158,823,158,Click,710,mouse,computer,wangxiaoyu
24,300,532,158,536,157,Click,663,mouse,computer,wangxiaoyu
24,300,832,158,830,156,Click,578,mouse,computer,wangxiaoyu
24,300,532,158,526,158,Click,591,mouse,computer,wangxiaoyu
24,300,832,158,846,157,Click,543,mouse,computer,wangxiaoyu
24,300,532,158,519,159,Click,608,mouse,computer,wangxiaoyu
12,100,732,158,728,161,Click,921,mouse,computer,wangxiaoyu
12,100,632,158,631,160,Click,583,mouse,computer,wangxiaoyu
12,100,732,158,734,159,Click,721,mouse,computer,wangxiaoyu
12,100,632,158,628,158,Click,473,mouse,computer,wangxiaoyu
12,100,732,158,727,159,Click,703,mouse,computer,wangxiaoyu
12,100,632,158,632,158,Click,647,mouse,computer,wangxiaoyu
12,100,732,158,739,159,Click,496,mouse,computer,wangxiaoyu
12,100,632,158,636,161,Click,689,mouse,computer,wangxiaoyu
12,100,732,158,739,162,Click,479,mouse,computer,wangxiaoyu
12,100,632,158,636,161,Click,561,mouse,computer,wangxiaoyu
12,100,732,158,732,159,Click,440,mouse,computer,wangxiaoyu
12,100,632,158,632,157,Click,688,mouse,computer,wangxiaoyu
12,100,732,158,733,158,Click,735,mouse,computer,wangxiaoyu
12,100,632,158,632,157,Click,576,mouse,computer,wangxiaoyu
12,100,732,158,738,157,Click,560,mouse,computer,wangxiaoyu
12,100,632,158,634,157,Click,641,mouse,computer,wangxiaoyu
12,100,732,158,730,157,Click,713,mouse,computer,wangxiaoyu
12,100,632,158,626,157,Click,568,mouse,computer,wangxiaoyu
24,100,732,158,731,164,Click,544,mouse,computer,wangxiaoyu
24,100,632,158,639,159,Click,472,mouse,computer,wangxiaoyu
24,100,732,158,739,162,Click,481,mouse,computer,wangxiaoyu
24,100,632,158,627,162,Click,369,mouse,computer,wangxiaoyu
24,100,732,158,730,161,Click,398,mouse,computer,wangxiaoyu
24,100,632,158,621,158,Click,380,mouse,computer,wangxiaoyu
24,100,732,158,718,159,Click,395,mouse,computer,wangxiaoyu
24,100,632,158,618,154,Click,584,mouse,computer,wangxiaoyu
24,100,732,158,737,158,Click,544,mouse,computer,wangxiaoyu
24,100,632,158,614,158,Click,480,mouse,computer,wangxiaoyu
24,100,732,158,728,160,Click,417,mouse,computer,wangxiaoyu
24,100,632,158,629,160,Click,344,mouse,computer,wangxiaoyu
24,100,732,158,729,165,Click,360,mouse,computer,wangxiaoyu
24,100,632,158,638,161,Click,512,mouse,computer,wangxiaoyu
24,100,732,158,738,161,Click,359,mouse,computer,wangxiaoyu
24,100,632,158,626,161,Click,409,mouse,computer,wangxiaoyu
24,100,732,158,740,163,Click,360,mouse,computer,wangxiaoyu
24,100,632,158,642,161,Click,431,mouse,computer,wangxiaoyu
36,100,732,158,722,166,Click,432,mouse,computer,wangxiaoyu
36,100,632,158,634,166,Click,456,mouse,computer,wangxiaoyu
36,100,732,158,738,162,Click,336,mouse,computer,wangxiaoyu
36,100,632,158,642,158,Click,512,mouse,computer,wangxiaoyu
36,100,732,158,730,161,Click,376,mouse,computer,wangxiaoyu
36,100,632,158,633,157,Click,337,mouse,computer,wangxiaoyu
36,100,732,158,734,160,Click,319,mouse,computer,wangxiaoyu
36,100,632,158,618,159,Click,343,mouse,computer,wangxiaoyu
36,100,732,158,728,162,Click,313,mouse,computer,wangxiaoyu
36,100,632,158,633,160,Click,321,mouse,computer,wangxiaoyu
36,100,732,158,736,162,Click,304,mouse,computer,wangxiaoyu
36,100,632,158,636,160,Click,313,mouse,computer,wangxiaoyu
36,100,732,158,712,161,Click,303,mouse,computer,wangxiaoyu
36,100,632,158,609,158,Click,480,mouse,computer,wangxiaoyu
36,100,732,158,721,159,Click,408,mouse,computer,wangxiaoyu
36,100,632,158,648,158,Click,329,mouse,computer,wangxiaoyu
36,100,732,158,726,160,Click,350,mouse,computer,wangxiaoyu
36,100,632,158,633,158,Click,344,mouse,computer,wangxiaoyu
12,300,832,158,830,159,Click,903,mouse,computer,wangxiaoyu
12,300,532,158,535,158,Click,1081,mouse,computer,wangxiaoyu
12,300,832,158,829,160,Click,1096,mouse,computer,wangxiaoyu
12,300,532,158,529,159,Click,807,mouse,computer,wangxiaoyu
12,300,832,158,831,159,Click,722,mouse,computer,wangxiaoyu
12,300,532,158,533,159,Click,840,mouse,computer,wangxiaoyu
12,300,832,158,827,159,Click,782,mouse,computer,wangxiaoyu
12,300,532,158,535,158,Click,1089,mouse,computer,wangxiaoyu
12,300,832,158,830,160,Click,688,mouse,computer,wangxiaoyu
12,300,532,158,536,160,Click,767,mouse,computer,wangxiaoyu
12,300,832,158,821,161,Click,699,mouse,computer,wangxiaoyu
12,300,532,158,529,160,Click,1013,mouse,computer,wangxiaoyu
12,300,832,158,831,160,Click,760,mouse,computer,wangxiaoyu
12,300,532,158,537,158,Click,848,mouse,computer,wangxiaoyu
12,300,832,158,830,159,Click,721,mouse,computer,wangxiaoyu
12,300,532,158,531,156,Click,760,mouse,computer,wangxiaoyu
12,300,832,158,837,159,Click,632,mouse,computer,wangxiaoyu
12,300,532,158,535,158,Click,967,mouse,computer,wangxiaoyu
36,200,782,158,777,158,Click,590,mouse,computer,wangxiaoyu
36,200,582,158,590,155,Click,505,mouse,computer,wangxiaoyu
36,200,782,158,790,162,Click,408,mouse,computer,wangxiaoyu
36,200,582,158,582,160,Click,527,mouse,computer,wangxiaoyu
36,200,782,158,804,163,Click,473,mouse,computer,wangxiaoyu
36,200,582,158,588,158,Click,579,mouse,computer,wangxiaoyu
36,200,782,158,782,163,Click,350,mouse,computer,wangxiaoyu
36,200,582,158,589,158,Click,406,mouse,computer,wangxiaoyu
36,200,782,158,819,160,Click,377,mouse,computer,wangxiaoyu
36,200,582,158,584,157,Click,609,mouse,computer,wangxiaoyu
36,200,782,158,793,166,Click,375,mouse,computer,wangxiaoyu
36,200,582,158,598,164,Click,632,mouse,computer,wangxiaoyu
36,200,782,158,799,167,Click,384,mouse,computer,wangxiaoyu
36,200,582,158,581,161,Click,616,mouse,computer,wangxiaoyu
36,200,782,158,771,160,Click,479,mouse,computer,wangxiaoyu
36,200,582,158,596,158,Click,480,mouse,computer,wangxiaoyu
36,200,782,158,802,161,Click,488,mouse,computer,wangxiaoyu
36,200,582,158,581,160,Click,680,mouse,computer,wangxiaoyu
