w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,300,832,158,834,161,Click,605,mouse,computer,wuyongyu
24,300,532,158,528,159,Click,960,mouse,computer,wuyongyu
24,300,832,158,836,162,Click,807,mouse,computer,wuyongyu
24,300,532,158,528,157,Click,792,mouse,computer,wuyongyu
24,300,832,158,836,158,Click,656,mouse,computer,wuyongyu
24,300,532,158,537,161,Click,512,mouse,computer,wuyongyu
24,300,832,158,837,160,Click,688,mouse,computer,wuyongyu
24,300,532,158,537,160,Click,522,mouse,computer,wuyongyu
24,300,832,158,833,161,Click,613,mouse,computer,wuyongyu
24,300,532,158,538,161,Click,489,mouse,computer,wuyongyu
24,300,832,158,838,165,Click,504,mouse,computer,wuyongyu
24,300,532,158,520,156,Click,488,mouse,computer,wuyongyu
24,300,832,158,840,159,Click,832,mouse,computer,wuyongyu
24,300,532,158,540,156,Click,911,mouse,computer,wuyongyu
24,300,832,158,835,158,Click,553,mouse,computer,wuyongyu
24,300,532,158,534,156,Click,687,mouse,computer,wuyongyu
24,300,832,158,832,161,Click,577,mouse,computer,wuyongyu
24,300,532,158,534,159,Click,455,mouse,computer,wuyongyu
12,100,732,158,728,159,Click,639,mouse,computer,wuyongyu
12,100,632,158,664,161,Click,911,mouse,computer,wuyongyu
12,100,732,158,736,159,Click,1080,mouse,computer,wuyongyu
12,100,632,158,633,157,Click,776,mouse,computer,wuyongyu
12,100,732,158,737,160,Click,952,mouse,computer,wuyongyu
12,100,632,158,637,159,Click,1160,mouse,computer,wuyongyu
12,100,732,158,732,159,Click,601,mouse,computer,wuyongyu
12,100,632,158,624,159,Click,479,mouse,computer,wuyongyu
12,100,732,158,739,159,Click,624,mouse,computer,wuyongyu
12,100,632,158,629,156,Click,760,mouse,computer,wuyongyu
12,100,732,158,735,156,Click,480,mouse,computer,wuyongyu
12,100,632,158,635,156,Click,712,mouse,computer,wuyongyu
12,100,732,158,740,156,Click,576,mouse,computer,wuyongyu
12,100,632,158,631,158,Click,784,mouse,computer,wuyongyu
12,100,732,158,736,158,Click,512,mouse,computer,wuyongyu
12,100,632,158,633,158,Click,848,mouse,computer,wuyongyu
12,100,732,158,731,159,Click,631,mouse,computer,wuyongyu
12,100,632,158,632,158,Click,857,mouse,computer,wuyongyu
12,300,832,158,831,162,Click,1008,mouse,computer,wuyongyu
12,300,532,158,536,159,Click,953,mouse,computer,wuyongyu
12,300,832,158,830,162,Click,751,mouse,computer,wuyongyu
12,300,532,158,532,156,Click,698,mouse,computer,wuyongyu
12,300,832,158,827,159,Click,695,mouse,computer,wuyongyu
12,300,532,158,531,160,Click,785,mouse,computer,wuyongyu
12,300,832,158,839,162,Click,734,mouse,computer,wuyongyu
12,300,532,158,533,161,Click,857,mouse,computer,wuyongyu
12,300,832,158,834,158,Click,848,mouse,computer,wuyongyu
12,300,532,158,533,155,Click,728,mouse,computer,wuyongyu
12,300,832,158,829,158,Click,712,mouse,computer,wuyongyu
12,300,532,158,522,157,Click,792,mouse,computer,wuyongyu
12,300,832,158,826,158,Click,1159,mouse,computer,wuyongyu
12,300,532,158,538,153,Click,920,mouse,computer,wuyongyu
12,300,832,158,841,159,Click,945,mouse,computer,wuyongyu
12,300,532,158,536,158,Click,856,mouse,computer,wuyongyu
12,300,832,158,831,158,Click,809,mouse,computer,wuyongyu
12,300,532,158,534,156,Click,735,mouse,computer,wuyongyu
36,200,782,158,796,162,Click,431,mouse,computer,wuyongyu
36,200,582,158,554,152,Click,473,mouse,computer,wuyongyu
36,200,782,158,786,157,Click,576,mouse,computer,wuyongyu
36,200,582,158,584,154,Click,463,mouse,computer,wuyongyu
36,200,782,158,773,160,Click,457,mouse,computer,wuyongyu
36,200,582,158,574,158,Click,600,mouse,computer,wuyongyu
36,200,782,158,776,162,Click,408,mouse,computer,wuyongyu
36,200,582,158,587,158,Click,433,mouse,computer,wuyongyu
36,200,782,158,802,165,Click,432,mouse,computer,wuyongyu
36,200,582,158,560,156,Click,472,mouse,computer,wuyongyu
36,200,782,158,772,163,Click,488,mouse,computer,wuyongyu
36,200,582,158,584,159,Click,479,mouse,computer,wuyongyu
36,200,782,158,776,165,Click,440,mouse,computer,wuyongyu
36,200,582,158,582,157,Click,567,mouse,computer,wuyongyu
36,200,782,158,784,164,Click,721,mouse,computer,wuyongyu
36,200,582,158,589,161,Click,448,mouse,computer,wuyongyu
36,200,782,158,803,159,Click,439,mouse,computer,wuyongyu
36,200,582,158,593,152,Click,632,mouse,computer,wuyongyu
24,200,782,158,789,157,Click,616,mouse,computer,wuyongyu
24,200,582,158,581,154,Click,489,mouse,computer,wuyongyu
24,200,782,158,775,156,Click,623,mouse,computer,wuyongyu
24,200,582,158,584,153,Click,448,mouse,computer,wuyongyu
24,200,782,158,777,156,Click,752,mouse,computer,wuyongyu
24,200,582,158,579,155,Click,457,mouse,computer,wuyongyu
24,200,782,158,783,154,Click,611,mouse,computer,wuyongyu
24,200,582,158,591,160,Click,557,mouse,computer,wuyongyu
