w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,100,732,158,726,163,Click,572,mouse,computer,xieyunfei
24,100,632,158,625,159,Click,424,mouse,computer,xieyunfei
24,100,732,158,725,160,Click,448,mouse,computer,xieyunfei
24,100,632,158,622,159,Click,432,mouse,computer,xieyunfei
24,100,732,158,744,159,Click,400,mouse,computer,xieyunfei
24,100,632,158,634,160,Click,424,mouse,computer,xieyunfei
24,100,732,158,733,161,Click,472,mouse,computer,xieyunfei
24,100,632,158,625,161,Click,424,mouse,computer,xieyunfei
24,100,732,158,732,162,Click,511,mouse,computer,xieyunfei
24,100,632,158,631,162,Click,473,mouse,computer,xieyunfei
24,100,732,158,736,160,Click,625,mouse,computer,xieyunfei
24,100,632,158,624,161,Click,471,mouse,computer,xieyunfei
24,100,732,158,739,161,Click,447,mouse,computer,xieyunfei
24,100,632,158,628,157,Click,369,mouse,computer,xieyunfei
24,100,732,158,735,159,Click,392,mouse,computer,xieyunfei
24,100,632,158,630,159,Click,327,mouse,computer,xieyunfei
24,100,732,158,731,162,Click,416,mouse,computer,xieyunfei
24,100,632,158,617,162,Click,361,mouse,computer,xieyunfei
12,100,732,158,736,161,Click,599,mouse,computer,xieyunfei
12,100,632,158,637,161,Click,656,mouse,computer,xieyunfei
12,100,732,158,738,162,Click,784,mouse,computer,xieyunfei
12,100,632,158,635,158,Click,632,mouse,computer,xieyunfei
12,100,732,158,732,158,Click,688,mouse,computer,xieyunfei
12,100,632,158,629,155,Click,497,mouse,computer,xieyunfei
12,100,732,158,736,155,Click,583,mouse,computer,xieyunfei
12,100,632,158,631,161,Click,616,mouse,computer,xieyunfei
12,100,732,158,736,161,Click,991,mouse,computer,xieyunfei
12,100,632,158,630,161,Click,536,mouse,computer,xieyunfei
12,100,732,158,726,159,Click,905,mouse,computer,xieyunfei
12,100,632,158,621,157,Click,528,mouse,computer,xieyunfei
12,100,732,158,729,161,Click,840,mouse,computer,xieyunfei
12,100,632,158,635,159,Click,624,mouse,computer,xieyunfei
12,100,732,158,730,160,Click,496,mouse,computer,xieyunfei
12,100,632,158,636,160,Click,647,mouse,computer,xieyunfei
12,100,732,158,735,160,Click,809,mouse,computer,xieyunfei
12,100,632,158,630,157,Click,520,mouse,computer,xieyunfei
36,300,832,158,822,163,Click,719,mouse,computer,xieyunfei
36,300,532,158,526,157,Click,528,mouse,computer,xieyunfei
36,300,832,158,831,161,Click,680,mouse,computer,xieyunfei
36,300,532,158,538,156,Click,544,mouse,computer,xieyunfei
36,300,832,158,829,158,Click,512,mouse,computer,xieyunfei
36,300,532,158,534,157,Click,569,mouse,computer,xieyunfei
36,300,832,158,814,156,Click,581,mouse,computer,xieyunfei
36,300,532,158,527,158,Click,594,mouse,computer,xieyunfei
36,300,832,158,834,164,Click,537,mouse,computer,xieyunfei
36,300,532,158,529,161,Click,432,mouse,computer,xieyunfei
36,300,832,158,836,162,Click,600,mouse,computer,xieyunfei
36,300,532,158,532,160,Click,472,mouse,computer,xieyunfei
36,300,832,158,825,160,Click,648,mouse,computer,xieyunfei
36,300,532,158,544,161,Click,608,mouse,computer,xieyunfei
36,300,832,158,866,157,Click,600,mouse,computer,xieyunfei
36,300,532,158,513,155,Click,617,mouse,computer,xieyunfei
36,300,832,158,842,162,Click,647,mouse,computer,xieyunfei
36,300,532,158,539,160,Click,472,mouse,computer,xieyunfei
24,200,782,158,784,158,Click,568,mouse,computer,xieyunfei
24,200,582,158,584,162,Click,489,mouse,computer,xieyunfei
24,200,782,158,780,161,Click,695,mouse,computer,xieyunfei
24,200,582,158,595,161,Click,551,mouse,computer,xieyunfei
24,200,782,158,784,162,Click,592,mouse,computer,xieyunfei
24,200,582,158,595,159,Click,601,mouse,computer,xieyunfei
24,200,782,158,782,161,Click,687,mouse,computer,xieyunfei
24,200,582,158,575,163,Click,456,mouse,computer,xieyunfei
24,200,782,158,781,161,Click,625,mouse,computer,xieyunfei
24,200,582,158,574,158,Click,560,mouse,computer,xieyunfei
24,200,782,158,790,158,Click,519,mouse,computer,xieyunfei
24,200,582,158,584,157,Click,624,mouse,computer,xieyunfei
24,200,782,158,775,156,Click,488,mouse,computer,xieyunfei
24,200,582,158,585,158,Click,569,mouse,computer,xieyunfei
24,200,782,158,787,158,Click,671,mouse,computer,xieyunfei
24,200,582,158,586,159,Click,466,mouse,computer,xieyunfei
24,200,782,158,782,159,Click,463,mouse,computer,xieyunfei
24,200,582,158,586,158,Click,593,mouse,computer,xieyunfei
12,300,832,158,829,161,Click,792,mouse,computer,xieyunfei
12,300,532,158,526,161,Click,632,mouse,computer,xieyunfei
12,300,832,158,830,160,Click,760,mouse,computer,xieyunfei
12,300,532,158,530,159,Click,887,mouse,computer,xieyunfei
12,300,832,158,827,156,Click,785,mouse,computer,xieyunfei
12,300,532,158,529,160,Click,743,mouse,computer,xieyunfei
12,300,832,158,833,162,Click,696,mouse,computer,xieyunfei
12,300,532,158,534,162,Click,818,mouse,computer,xieyunfei
12,300,832,158,833,160,Click,1006,mouse,computer,xieyunfei
12,300,532,158,535,162,Click,864,mouse,computer,xieyunfei
12,300,832,158,832,162,Click,832,mouse,computer,xieyunfei
12,300,532,158,539,158,Click,849,mouse,computer,xieyunfei
