w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,300,832,158,830,159,Click,956,mouse,computer,zhangjianye
12,300,532,158,528,159,Click,1105,mouse,computer,zhangjianye
12,300,832,158,839,163,Click,1071,mouse,computer,zhangjianye
12,300,532,158,527,159,Click,816,mouse,computer,zhangjianye
12,300,832,158,826,159,Click,656,mouse,computer,zhangjianye
12,300,532,158,539,163,Click,666,mouse,computer,zhangjianye
12,300,832,158,831,167,Click,821,mouse,computer,zhangjianye
12,300,532,158,538,159,Click,649,mouse,computer,zhangjianye
12,300,832,158,837,160,Click,1136,mouse,computer,zhangjianye
12,300,532,158,539,159,Click,1000,mouse,computer,zhangjianye
12,300,832,158,836,160,Click,1143,mouse,computer,zhangjianye
12,300,532,158,530,158,Click,753,mouse,computer,zhangjianye
12,300,832,158,835,160,Click,856,mouse,computer,zhangjianye
12,300,532,158,536,159,Click,672,mouse,computer,zhangjianye
12,300,832,158,837,162,Click,872,mouse,computer,zhangjianye
12,300,532,158,533,160,Click,1336,mouse,computer,zhangjianye
12,300,832,158,839,160,Click,872,mouse,computer,zhangjianye
12,300,532,158,535,158,Click,944,mouse,computer,zhangjianye
12,100,732,158,733,159,Click,719,mouse,computer,zhangjianye
12,100,632,158,628,156,Click,672,mouse,computer,zhangjianye
12,100,732,158,729,157,Click,1000,mouse,computer,zhangjianye
12,100,632,158,629,159,Click,841,mouse,computer,zhangjianye
12,100,732,158,733,161,Click,663,mouse,computer,zhangjianye
12,100,632,158,631,163,Click,1704,mouse,computer,zhangjianye
12,100,732,158,734,161,Click,561,mouse,computer,zhangjianye
12,100,632,158,627,158,Click,472,mouse,computer,zhangjianye
12,100,732,158,740,162,Click,1113,mouse,computer,zhangjianye
12,100,632,158,631,162,Click,919,mouse,computer,zhangjianye
12,100,732,158,725,162,Click,520,mouse,computer,zhangjianye
12,100,632,158,631,159,Click,865,mouse,computer,zhangjianye
12,100,732,158,734,160,Click,800,mouse,computer,zhangjianye
12,100,632,158,636,161,Click,831,mouse,computer,zhangjianye
12,100,732,158,732,160,Click,656,mouse,computer,zhangjianye
12,100,632,158,627,158,Click,496,mouse,computer,zhangjianye
12,100,732,158,735,160,Click,632,mouse,computer,zhangjianye
12,100,632,158,635,163,Click,639,mouse,computer,zhangjianye
24,300,832,158,836,157,Click,783,mouse,computer,zhangjianye
24,300,532,158,533,163,Click,713,mouse,computer,zhangjianye
24,300,832,158,842,162,Click,711,mouse,computer,zhangjianye
