w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
12,200,782,158,786,162,Click,3261,mouse,computer,zhangzheng
12,200,582,158,584,157,Click,1183,mouse,computer,zhangzheng
12,200,782,158,781,157,Click,1168,mouse,computer,zhangzheng
12,200,582,158,584,160,Click,1112,mouse,computer,zhangzheng
12,200,782,158,783,160,Click,1080,mouse,computer,zhangzheng
12,200,582,158,581,159,Click,928,mouse,computer,zhangzheng
12,200,782,158,785,157,Click,912,mouse,computer,zhangzheng
12,200,582,158,581,161,Click,977,mouse,computer,zhangzheng
12,200,782,158,780,158,Click,984,mouse,computer,zhangzheng
12,200,582,158,585,159,Click,1152,mouse,computer,zhangzheng
12,200,782,158,783,158,Click,1288,mouse,computer,zhangzheng
12,200,582,158,587,160,Click,1063,mouse,computer,zhangzheng
12,200,782,158,784,157,Click,1097,mouse,computer,zhangzheng
12,200,582,158,584,158,Click,1375,mouse,computer,zhangzheng
12,200,782,158,781,158,Click,1113,mouse,computer,zhangzheng
12,200,582,158,585,164,Click,1167,mouse,computer,zhangzheng
12,200,782,158,784,160,Click,952,mouse,computer,zhangzheng
12,200,582,158,582,159,Click,808,mouse,computer,zhangzheng
12,300,832,158,832,161,Click,1159,mouse,computer,zhangzheng
12,300,532,158,533,161,Click,901,mouse,computer,zhangzheng
12,300,832,158,833,161,Click,1029,mouse,computer,zhangzheng
12,300,532,158,533,160,Click,1216,mouse,computer,zhangzheng
12,300,832,158,831,158,Click,1304,mouse,computer,zhangzheng
12,300,532,158,534,160,Click,1288,mouse,computer,zhangzheng
12,300,832,158,835,157,Click,1000,mouse,computer,zhangzheng
12,300,532,158,536,161,Click,1272,mouse,computer,zhangzheng
12,300,832,158,837,162,Click,1039,mouse,computer,zhangzheng
12,300,532,158,535,160,Click,1152,mouse,computer,zhangzheng
12,300,832,158,835,157,Click,848,mouse,computer,zhangzheng
12,300,532,158,534,161,Click,1144,mouse,computer,zhangzheng
12,300,832,158,836,162,Click,1016,mouse,computer,zhangzheng
12,300,532,158,536,162,Click,1288,mouse,computer,zhangzheng
12,300,832,158,835,160,Click,1352,mouse,computer,zhangzheng
12,300,532,158,533,162,Click,1304,mouse,computer,zhangzheng
12,300,832,158,834,159,Click,1161,mouse,computer,zhangzheng
12,300,532,158,536,159,Click,1512,mouse,computer,zhangzheng
24,300,832,158,831,163,Click,1231,mouse,computer,zhangzheng
24,300,532,158,530,158,Click,880,mouse,computer,zhangzheng
24,300,832,158,829,158,Click,872,mouse,computer,zhangzheng
24,300,532,158,537,159,Click,1008,mouse,computer,zhangzheng
24,300,832,158,837,158,Click,1056,mouse,computer,zhangzheng
24,300,532,158,537,165,Click,824,mouse,computer,zhangzheng
24,300,832,158,827,160,Click,952,mouse,computer,zhangzheng
24,300,532,158,539,159,Click,1512,mouse,computer,zhangzheng
24,300,832,158,829,157,Click,1016,mouse,computer,zhangzheng
24,300,532,158,535,161,Click,792,mouse,computer,zhangzheng
24,300,832,158,834,163,Click,872,mouse,computer,zhangzheng
24,300,532,158,539,163,Click,951,mouse,computer,zhangzheng
24,300,832,158,828,160,Click,1106,mouse,computer,zhangzheng
24,300,532,158,532,163,Click,848,mouse,computer,zhangzheng
24,300,832,158,836,160,Click,719,mouse,computer,zhangzheng
24,300,532,158,533,159,Click,1144,mouse,computer,zhangzheng
24,300,832,158,838,160,Click,1145,mouse,computer,zhangzheng
24,300,532,158,532,158,Click,1088,mouse,computer,zhangzheng
36,300,832,158,830,155,Click,976,mouse,computer,zhangzheng
36,300,532,158,538,163,Click,688,mouse,computer,zhangzheng
36,300,832,158,842,159,Click,792,mouse,computer,zhangzheng
36,300,532,158,544,160,Click,808,mouse,computer,zhangzheng
36,300,832,158,833,159,Click,728,mouse,computer,zhangzheng
36,300,532,158,538,158,Click,968,mouse,computer,zhangzheng
36,300,832,158,839,163,Click,744,mouse,computer,zhangzheng
36,300,532,158,533,161,Click,768,mouse,computer,zhangzheng
36,300,832,158,827,159,Click,872,mouse,computer,zhangzheng
36,300,532,158,533,161,Click,679,mouse,computer,zhangzheng
36,300,832,158,831,160,Click,809,mouse,computer,zhangzheng
36,300,532,158,536,159,Click,767,mouse,computer,zhangzheng
36,300,832,158,843,157,Click,738,mouse,computer,zhangzheng
36,300,532,158,541,159,Click,823,mouse,computer,zhangzheng
36,300,832,158,833,156,Click,961,mouse,computer,zhangzheng
36,300,532,158,541,157,Click,743,mouse,computer,zhangzheng
36,300,832,158,824,153,Click,912,mouse,computer,zhangzheng
36,300,532,158,519,161,Click,640,mouse,computer,zhangzheng
24,200,782,158,783,158,Click,799,mouse,computer,zhangzheng
24,200,582,158,582,162,Click,760,mouse,computer,zhangzheng
24,200,782,158,782,161,Click,880,mouse,computer,zhangzheng
24,200,582,158,589,159,Click,768,mouse,computer,zhangzheng
24,200,782,158,783,158,Click,992,mouse,computer,zhangzheng
24,200,582,158,588,159,Click,904,mouse,computer,zhangzheng
24,200,782,158,782,160,Click,719,mouse,computer,zhangzheng
24,200,582,158,582,164,Click,977,mouse,computer,zhangzheng
24,200,782,158,783,160,Click,879,mouse,computer,zhangzheng
24,200,582,158,587,159,Click,864,mouse,computer,zhangzheng
24,200,782,158,783,157,Click,914,mouse,computer,zhangzheng
24,200,582,158,582,162,Click,807,mouse,computer,zhangzheng
24,200,782,158,793,158,Click,721,mouse,computer,zhangzheng
24,200,582,158,586,161,Click,840,mouse,computer,zhangzheng
24,200,782,158,792,160,Click,736,mouse,computer,zhangzheng
24,200,582,158,576,163,Click,776,mouse,computer,zhangzheng
24,200,782,158,782,158,Click,976,mouse,computer,zhangzheng
24,200,582,158,584,162,Click,1016,mouse,computer,zhangzheng
36,200,782,158,798,157,Click,760,mouse,computer,zhangzheng
36,200,582,158,579,161,Click,720,mouse,computer,zhangzheng
36,200,782,158,782,159,Click,696,mouse,computer,zhangzheng
36,200,582,158,590,161,Click,776,mouse,computer,zhangzheng
36,200,782,158,794,160,Click,704,mouse,computer,zhangzheng
36,200,582,158,589,158,Click,791,mouse,computer,zhangzheng
36,200,782,158,780,158,Click,1033,mouse,computer,zhangzheng
36,200,582,158,574,166,Click,696,mouse,computer,zhangzheng
36,200,782,158,790,159,Click,752,mouse,computer,zhangzheng
36,200,582,158,585,161,Click,727,mouse,computer,zhangzheng
36,200,782,158,784,157,Click,960,mouse,computer,zhangzheng
36,200,582,158,587,162,Click,840,mouse,computer,zhangzheng
36,200,782,158,782,159,Click,704,mouse,computer,zhangzheng
36,200,582,158,576,158,Click,737,mouse,computer,zhangzheng
36,200,782,158,793,162,Click,1000,mouse,computer,zhangzheng
36,200,582,158,593,165,Click,744,mouse,computer,zhangzheng
36,200,782,158,783,160,Click,744,mouse,computer,zhangzheng
36,200,582,158,583,160,Click,816,mouse,computer,zhangzheng
36,100,732,158,720,158,Click,776,mouse,computer,zhangzheng
36,100,632,158,627,165,Click,624,mouse,computer,zhangzheng
36,100,732,158,729,159,Click,712,mouse,computer,zhangzheng
36,100,632,158,638,160,Click,576,mouse,computer,zhangzheng
36,100,732,158,743,157,Click,648,mouse,computer,zhangzheng
36,100,632,158,644,161,Click,704,mouse,computer,zhangzheng
36,100,732,158,734,160,Click,583,mouse,computer,zhangzheng
36,100,632,158,639,161,Click,704,mouse,computer,zhangzheng
36,100,732,158,745,159,Click,521,mouse,computer,zhangzheng
36,100,632,158,640,159,Click,639,mouse,computer,zhangzheng
36,100,732,158,730,158,Click,640,mouse,computer,zhangzheng
36,100,632,158,640,160,Click,673,mouse,computer,zhangzheng
36,100,732,158,727,160,Click,526,mouse,computer,zhangzheng
36,100,632,158,627,163,Click,633,mouse,computer,zhangzheng
36,100,732,158,727,156,Click,722,mouse,computer,zhangzheng
36,100,632,158,642,160,Click,655,mouse,computer,zhangzheng
36,100,732,158,722,157,Click,695,mouse,computer,zhangzheng
36,100,632,158,629,162,Click,536,mouse,computer,zhangzheng
24,100,732,158,733,159,Click,864,mouse,computer,zhangzheng
24,100,632,158,640,161,Click,768,mouse,computer,zhangzheng
24,100,732,158,734,160,Click,696,mouse,computer,zhangzheng
24,100,632,158,639,162,Click,808,mouse,computer,zhangzheng
24,100,732,158,735,160,Click,776,mouse,computer,zhangzheng
24,100,632,158,635,161,Click,783,mouse,computer,zhangzheng
24,100,732,158,731,157,Click,769,mouse,computer,zhangzheng
24,100,632,158,631,160,Click,607,mouse,computer,zhangzheng
24,100,732,158,735,156,Click,592,mouse,computer,zhangzheng
24,100,632,158,641,158,Click,576,mouse,computer,zhangzheng
24,100,732,158,729,157,Click,808,mouse,computer,zhangzheng
24,100,632,158,633,158,Click,592,mouse,computer,zhangzheng
24,100,732,158,737,157,Click,592,mouse,computer,zhangzheng
24,100,632,158,635,157,Click,760,mouse,computer,zhangzheng
24,100,732,158,731,155,Click,800,mouse,computer,zhangzheng
24,100,632,158,634,159,Click,584,mouse,computer,zhangzheng
24,100,732,158,735,158,Click,739,mouse,computer,zhangzheng
24,100,632,158,635,159,Click,629,mouse,computer,zhangzheng
12,100,732,158,737,156,Click,849,mouse,computer,zhangzheng
12,100,632,158,630,160,Click,968,mouse,computer,zhangzheng
12,100,732,158,733,158,Click,833,mouse,computer,zhangzheng
12,100,632,158,636,160,Click,823,mouse,computer,zhangzheng
12,100,732,158,735,156,Click,840,mouse,computer,zhangzheng
12,100,632,158,640,161,Click,815,mouse,computer,zhangzheng
12,100,732,158,736,159,Click,1071,mouse,computer,zhangzheng
12,100,632,158,633,161,Click,809,mouse,computer,zhangzheng
12,100,732,158,731,158,Click,688,mouse,computer,zhangzheng
12,100,632,158,635,159,Click,807,mouse,computer,zhangzheng
12,100,732,158,733,157,Click,920,mouse,computer,zhangzheng
12,100,632,158,634,160,Click,960,mouse,computer,zhangzheng
12,100,732,158,731,160,Click,1216,mouse,computer,zhangzheng
12,100,632,158,627,160,Click,888,mouse,computer,zhangzheng
12,100,732,158,735,158,Click,1144,mouse,computer,zhangzheng
12,100,632,158,637,159,Click,1104,mouse,computer,zhangzheng
12,100,732,158,731,158,Click,984,mouse,computer,zhangzheng
12,100,632,158,634,160,Click,896,mouse,computer,zhangzheng
