w,A,TargetX,TargetY,EndpointX,EndpointY,EventType,Time,Device,Platform,UserName
24,100,689,178,693,175,Click,744,touchpad,computer,guoyuanchen
24,100,589,178,589,179,Click,729,touchpad,computer,guoyuanchen
24,100,689,178,691,183,Click,811,touchpad,computer,guoyuanchen
24,100,589,178,590,180,Click,684,touchpad,computer,guoyuanchen
24,100,689,178,690,180,Click,674,touchpad,computer,guoyuanchen
24,100,589,178,586,183,Click,1313,touchpad,computer,guoyuanchen
24,100,689,178,694,180,Click,787,touchpad,computer,guoyuanchen
24,100,589,178,587,182,Click,832,touchpad,computer,guoyuanchen
24,100,689,178,691,180,Click,854,touchpad,computer,guoyuanchen
24,100,589,178,587,181,Click,706,touchpad,computer,guoyuanchen
24,100,689,178,686,182,Click,737,touchpad,computer,guoyuanchen
24,100,589,178,591,182,Click,730,touchpad,computer,guoyuanchen
24,100,689,178,693,183,Click,745,touchpad,computer,guoyuanchen
24,100,589,178,591,181,Click,809,touchpad,computer,guoyuanchen
24,100,689,178,693,180,Click,711,touchpad,computer,guoyuanchen
24,100,589,178,590,175,Click,704,touchpad,computer,guoyuanchen
24,100,689,178,690,178,Click,786,touchpad,computer,guoyuanchen
24,100,589,178,592,180,Click,770,touchpad,computer,guoyuanchen
24,300,789,178,789,183,Click,986,touchpad,computer,guoyuanchen
24,300,489,178,495,180,Click,898,touchpad,computer,guoyuanchen
24,300,789,178,789,180,Click,864,touchpad,computer,guoyuanchen
24,300,489,178,492,174,Click,858,touchpad,computer,guoyuanchen
24,300,789,178,793,181,Click,903,touchpad,computer,guoyuanchen
24,300,489,178,494,179,Click,834,touchpad,computer,guoyuanchen
24,300,789,178,797,186,Click,872,touchpad,computer,guoyuanchen
24,300,489,178,492,177,Click,762,touchpad,computer,guoyuanchen
24,300,789,178,796,184,Click,890,touchpad,computer,guoyuanchen
24,300,489,178,487,177,Click,894,touchpad,computer,guoyuanchen
24,300,789,178,789,180,Click,914,touchpad,computer,guoyuanchen
24,300,489,178,493,177,Click,986,touchpad,computer,guoyuanchen
24,300,789,178,792,182,Click,930,touchpad,computer,guoyuanchen
24,300,489,178,489,179,Click,896,touchpad,computer,guoyuanchen
24,300,789,178,794,172,Click,821,touchpad,computer,guoyuanchen
24,300,489,178,488,173,Click,806,touchpad,computer,guoyuanchen
