¦Â/¡ã	I/¦ÌA
90	88.0
89	81.2
88	64.8
87	54.6
85	47.1
84	27.3
83	9.8
82	6.2
81	12.2
80	9.1
79	2.4
78	11.8
77	17.6
76	2.1
75	14.8
74	46.2
73	58.8
72	42.8
71	40.2
70	46.2
69	45.8
68	30.0
67	18.0
65	14.2
64	11.0
63	6.0
62	3.8
61	4.2
60	4.3
59	3.8
58	1.9
57	1.9
56	1.9
55	0.0
54	0.1
53	2.1
52	2.3
51	1.8
50	0.0
49	3.8
48	9.6
47	18.0
46	26.0
45	28.1
44	26.4
43	22.1
42	18.1
41	18.1
40	16.2
39	12.8
38	8.2
37	6.2
36	4.1
35	3.8
34	3.1
33	2.8
32	2.6
31	3.8
30	4.3
29	5.8
28	6.0
27	5.2
26	3.9
25	2.1



¦Â/¡ã	I/¦ÌA
90	54.2
85	58.0
80	14.0
75	4.2
70	2.0
65	2.2
64	8.2
63	11.2
62	13.1
61	17.8
60	17.8
59	20.1
58	28.1
57	30.0
56	23.1
55	19.8
54	16.0
53	9.8
52	4.9
51	4.0
50	2.2
45	0.0
40	0.8
35	1.0
30	0.2
25	1.0



¦Â/¡ã	I/¦ÌA
0	67.0
5	70.0
10	54.3
15	30.0
20	10.8
25	1.8
26	0.4
27	0.2
28	0.0
29	0.0
30	0.0
35	0.1
40	1.0
45	1.8
50	1.9
55	0.4
60	1.8
65	0.4
70	0.1


56.961	
39.115	
24.310	
8.721
